DepartmentName,JobTitle,Zip,Salary,,,
Boston Police Department,Police Officer,02038,"$99,527.70 ",,,
Boston Police Department,Police Capt/DDC-Hackney Inves,02032,"$142,961.00 ",,,
Boston Police Department,Police Detective,02081,"$94,956.25 ",,,
Boston Police Department,Police Sergeant,02035,"$110,031.40 ",,,
Boston Police Department,Dep Supn (Bpd),02025,"$73,111.73 ",,,
Boston Police Department,Police Sergeant (Det),02333,"$122,211.31 ",,,
Boston Police Department,Police Sergeant (Det),02127,"$113,179.69 ",,,
Boston Police Department,Police Detective,02356,"$3,411.18 ",,,
Boston Police Department,Police Officer,02130,"$91,540.18 ",,,
Boston Police Department,Police Officer,02121,"$12,711.79 ",,,
Boston Police Department,Police Offc Hackney Invest 3$8,02368,"$100,680.29 ",,,
Boston Police Department,PoliceSergeant/SupvCourtCases,02128,($389.49),,,
Boston Police Department,Police Sergeant (Det),02121,"$67,774.01 ",,,
Boston Police Department,Police Sergeant (Det),02119,"$100,347.58 ",,,
Boston Police Department,Police Sergeant/AcadInstructor,02186,"$107,599.31 ",,,
Boston Police Department,Police Sergeant (Det),02324,"$113,179.69 ",,,
Boston Police Department,Police Offc Comm Serv Offc 3$8,02330,"$100,680.29 ",,,
Boston Police Department,Police Officer,01560,"$89,981.91 ",,,
Boston Police Department,Police Offc/Bomb Squad,02169,"$80,082.42 ",,,
Boston Police Department,Police Sergeant (Det),02026,"$115,189.99 ",,,
Boston Police Department,Police Sergeant,02184,"$108,444.01 ",,,
Boston Police Department,Police Offc/Juvenile Offc 4$10,02333,,,,
Boston Police Department,Prin Admin Asst,02351,"$107,497.85 ",,,
Boston Police Department,Public Relations Rep(Bpd),02118,"$46,817.70 ",,,
Boston Police Department,Police Officer,02186,"$3,208.92 ",,,
Boston Police Department,Police Officer,02136,"$93,180.42 ",,,
Boston Police Department,Police Offc Comm Serv Offc 3$8,02184,"$93,622.42 ",,,
Boston Police Department,Police Detective,02184,"$97,413.67 ",,,
Boston Police Department,Police Officer,01905,"$91,179.36 ",,,
Boston Police Department,Police Lieutenant,02124,"$136,221.15 ",,,
Boston Police Department,Police Sergeant (Det),02169,"$12,550.09 ",,,
Boston Police Department,Police Lieutenant (Det),02035,"$129,530.83 ",,,
Boston Police Department,Supn Bpd,02050,"$179,864.28 ",,,
Boston Police Department,Police Sergeant (Det),02061,"$116,108.98 ",,,
Workers Compensation Service,Workers Comp Job Classificatn,02122,,,,
Boston Police Department,Police Officer,02190,"$92,762.16 ",,,
Boston Police Department,Police Dispatcher,02301,"$75,890.55 ",,,
Boston Police Department,Police Sergeant,02359,"$109,781.75 ",,,
Boston Police Department,Police Officer,02368,"$100,783.56 ",,,
Boston Police Department,Police Lieutenant,01969,"$127,142.92 ",,,
Boston Police Department,Police Officer,02135,"$101,680.60 ",,,
Boston Police Department,Police Lieutenant (Det),02184,"$129,426.11 ",,,
Boston Police Department,Police Detective,02134,"$97,413.67 ",,,
Boston Police Department,Supn Bpd,02130,"$164,568.20 ",,,
Boston Police Department,Police Detective,02050,"$49,462.13 ",,,
Boston Police Department,Police Detective,01778,"$73,097.51 ",,,
Boston Police Department,Police Sergeant (Det),02081,"$116,108.98 ",,,
Boston Police Department,Police Officer,02126,"$101,680.60 ",,,
Boston Police Department,Police Lieutenant,02081,"$126,560.07 ",,,
Boston Police Department,Police Lieutenant/Hdq Dispatch,02132,"$131,665.65 ",,,
Boston Police Department,Police Sergeant/Pd Det Serv,02035,"$107,599.31 ",,,
Boston Police Department,Head Clerk & Secretary,02301,"$52,641.34 ",,,
Boston Police Department,Police Sergeant (Det),02155,"$113,179.69 ",,,
Boston Police Department,Police Officer,02332,"$55,270.13 ",,,
Boston Police Department,Police Officer,02021,"$91,179.36 ",,,
Boston Police Department,Police Officer,02359,"$101,680.60 ",,,
Boston Police Department,Police Captain,02081,"$142,886.58 ",,,
Boston Police Department,Police Lieutenant,02339,"$127,442.47 ",,,
Boston Police Department,Police Sergeant/Hackney Invest,02180,"$107,599.31 ",,,
Boston Police Department,Police Detective,02324,"$103,987.91 ",,,
Boston Police Department,Police Sergeant,02779,"$115,518.64 ",,,
Boston Police Department,Police Sergeant,02081,"$76,504.03 ",,,
Boston Police Department,Police Offc Bomb Squad,02364,"$93,527.47 ",,,
Boston Police Department,Police Sergeant,02125,"$112,310.38 ",,,
Boston Police Department,Police Offc Hackney Invest 3$8,02129,"$93,622.42 ",,,
Boston Police Department,Police Lieutenant (Det),02332,"$130,968.37 ",,,
Boston Police Department,Police Lieutenant/Hdq Dispatch,02135,"$125,715.33 ",,,
Boston Police Department,Police Clerk And Typist,02128,"$46,817.70 ",,,
Boston Police Department,Police Offc Bomb Squad,02186,"$95,390.42 ",,,
Boston Police Department,Police Lieutenant (Det),02186,"$129,737.14 ",,,
Boston Police Department,Police Offc Comm Serv Offc 3$8,02339,"$72,854.70 ",,,
Boston Police Department,Police Sergeant/Hackney Invest,01803,"$110,334.25 ",,,
Boston Police Department,Police Detective,02176,"$103,987.91 ",,,
Boston Police Department,Police Officer Harborboat 3$8,02124,"$93,622.42 ",,,
Boston Police Department,Police Sergeant,02132,"$112,757.88 ",,,
Boston Police Department,Supn Bpd,02121,"$181,982.71 ",,,
Boston Police Department,Prin Admin Asst,02132,"$97,647.06 ",,,
Boston Police Department,Police Dispatcher,02169,"$75,890.62 ",,,
Boston Police Department,Police Offc Acad Instr 2$6,02171,"$102,012.10 ",,,
Boston Police Department,Police Offc Hackney Invest 3$8,02053,"$91,648.97 ",,,
Boston Police Department,Police Offc Hackney Invest 3$8,02184,"$93,622.42 ",,,
Boston Police Department,Police Offc Comm Serv Offc 3$8,02021,"$102,122.60 ",,,
Boston Police Department,Police Offc Comm Serv Offc 3$8,01801,"$100,583.30 ",,,
Boston Police Department,Police Captain,02492,"$146,058.90 ",,,
Boston Police Department,Police Offc Canine 2$6,02081,"$14,733.76 ",,,
Boston Police Department,Police Detective,02035,"$103,987.91 ",,,
Boston Police Department,Police Lieutenant,02062,"$123,367.14 ",,,
Boston Police Department,Police Sergeant (Det),02360,"$122,211.31 ",,,
Boston Police Department,Supn-In Chief,02186,"$199,243.98 ",,,
Boston Police Department,Police Offc Comm Serv Offc 3$8,02121,"$102,122.60 ",,,
Boston Police Department,Police Lieutenant (Det),02169,"$129,530.83 ",,,
Boston Police Department,Police Lieutenant,02132,"$127,720.84 ",,,
Boston Police Department,Police Sergeant/FgrPrt Ev Tech,02030,"$48,626.96 ",,,
Boston Police Department,Police Sergeant (Det),02176,"$105,365.92 ",,,
Boston Police Department,Police Detective,01720,"$97,413.67 ",,,
Boston Police Department,Police Sergeant (Det),02184,"$111,879.69 ",,,
Boston Police Department,Police Lieutenant (Det),02132,"$129,530.83 ",,,
Boston Police Department,Police Detective,02132,"$97,413.67 ",,,
Boston Police Department,Police Lieutenant,02494,"$127,416.64 ",,,
Boston Police Department,Police Sergeant/CHF RADIO DISP,02332,"$113,328.01 ",,,
Boston Police Department,Police Officer,02191,"$98,669.00 ",,,
Boston Police Department,Police Offc Mobile Offc 2$6,02067,"$101,071.92 ",,,
Boston Police Department,Interpreter,02021,"$27,014.52 ",,,
Boston Police Department,Police Officer,02370,"$29,847.00 ",,,
Boston Police Department,Admin Asst (Finance),02191,"$15,216.08 ",,,
Boston Police Department,Police Lieutenant,02122,"$127,720.84 ",,,
Boston Police Department,Sr Budget Anl (BPD)(H&H),02148,"$64,007.34 ",,,
Boston Police Department,Police Officer,032725,,,,
Boston Police Department,Police Officer,02072,,,,
Boston Police Department,Police Detective,02122,"$72,487.60 ",,,
Boston Police Department,Police Officer,03060,,,,
Boston Police Department,Police Lieutenant,02322,"$126,586.33 ",,,
Boston Police Department,Police Officer,01545,"$101,680.60 ",,,
Boston Police Department,Police Offc Harborboat 3$8,02122,,,,
Boston Police Department,Sr Radio Communications Tech,02143,"$84,173.98 ",,,
Boston Police Department,Police Offc/Auto Invest 4$10,02190,,,,
Boston Police Department,Police Clerk And Typist,02452,"$46,817.69 ",,,
Boston Police Department,Head Clerk,02130,"$51,663.71 ",,,
Boston Police Department,Admin Secretary,02131,"$56,921.80 ",,,
Boston Police Department,Social Worker (BPD),02062,"$3,327.65 ",,,
Boston Police Department,School Traffic Supv,02130,"$14,341.14 ",,,
Boston Police Department,Police Clerk And Typist,02131,"$46,817.70 ",,,
Boston Police Department,Sr Data Proc Sys Anl (ASD/DPU),02135,"$113,451.93 ",,,
Boston Police Department,Store Control Supv(Bpd Fleet),02155,"$104,017.10 ",,,
Boston Police Department,Police Sergeant/Mobile Oper,02359,"$109,335.75 ",,,
Boston Police Department,Head Clerk & Secretary,01905,"$2,024.66 ",,,
Boston Retirement System,Dir-Security,02155,"$9,240.00 ",,,
Boston Police Department,Police Dispatcher,02126,"$77,022.09 ",,,
Boston Police Department,Police Offc/Auto Invest 4$10,02492,"$100,797.80 ",,,
Boston Retirement System,Employment Agreement,02050,"$5,320.00 ",,,
Boston Police Department,Supn Bpd,02124,"$181,982.71 ",,,
Boston Police Department,Communic. EquipOp II 9II(SS),02124,"$52,513.68 ",,,
Boston Police Department,Jr  Building Custodian,02191,"$43,562.59 ",,,
Boston Police Department,Head Clerk,02339,"$30,374.25 ",,,
BPS East Boston High,Prin Clerk/School Sec 21,02155,"$59,205.35 ",,,
Boston Police Department,Police Officer,02356,"$101,680.60 ",,,
Boston Police Department,Police Lieutenant,02135,"$23,733.04 ",,,
Boston Police Department,Police Sergeant (Det),02136,"$4,728.42 ",,,
Boston Police Department,Police Lieutenant (Det),01702,"$129,530.83 ",,,
Boston Police Department,Police Lieutenant (Det),02368,"$129,530.83 ",,,
Boston Police Department,IBIS Support Technician,02132,"$81,308.33 ",,,
Boston Police Department,Police Sergeant,02127,,,,
Boston Police Department,Police Detective,02174,,,,
Boston Police Department,Police Officer,02767,"$59,932.31 ",,,
Boston Police Department,Police Officer,02301,"$93,180.42 ",,,
Boston Police Department,Supn Bpd,02474,"$110,177.77 ",,,
Boston Police Department,Supn Bpd,02186,"$22,891.94 ",,,
Boston Police Department,Police Sergeant,02126,,,,
Boston Police Department,Police Detective,02540,"$94,956.25 ",,,
Boston Police Department,Police Offc Comm Serv Offc 3$8,02081,"$91,648.97 ",,,
Boston Police Department,Police Officer,01821,"$8,611.24 ",,,
Boston Police Department,Research Analyst,02170,"$48,684.01 ",,,
Boston Police Department,Data Proc Equip Tech (BPD),03045,"$74,850.53 ",,,
Boston Police Department,Police Offc/Juvenile Offc 4$10,02119,"$37,015.37 ",,,
Boston Police Department,Police Officer,02131,"$100,210.65 ",,,
Boston Police Department,Police Officer,02155,"$100,210.65 ",,,
Boston Police Department,Police Officer Hdq Dispatch,02125,"$99,571.57 ",,,
Boston Police Department,Police Detective,02171,"$1,869.06 ",,,
Boston Police Department,Police Sergeant (Det),02135,"$124,158.09 ",,,
Boston Police Department,Police Detective,02124,,,,
Boston Police Department,Police Officer,02128,"$98,638.34 ",,,
Boston Police Department,Police Lieutenant (Det),01864,"$128,944.72 ",,,
Boston Police Department,Police Detective,01906,,,,
Boston Police Department,Police Officer,02067,"$5,830.76 ",,,
Boston Police Department,Police Lieutenant (Det),01770,"$129,530.83 ",,,
Boston Police Department,Police Sergeant (Det),02301,"$4,609.13 ",,,
Boston Police Department,Police Sergeant/Comm Serv Offc,02339,"$13,479.75 ",,,
Boston Police Department,Police Offc/Auto Invest 4$10,02056,"$91,354.31 ",,,
Boston Police Department,Police Offc Acad Instr 2$6,02119,,,,
Boston Police Department,Police Captain (Det),02780,"$148,529.68 ",,,
Boston Police Department,Police Detective,02368,"$17,557.49 ",,,
Boston Police Department,Police Detective,02121,"$10,279.84 ",,,
Boston Police Department,Police Detective,02301,"$51,777.41 ",,,
Boston Police Department,Police Detective,02125,"$67,481.95 ",,,
Boston Police Department,Police Lieutenant (Det),02452,"$57,439.01 ",,,
Boston Police Department,Police Offc/Bomb Squad,02189,"$93,569.06 ",,,
Boston Police Department,Police Officer Hdq Dispatch,02191,"$103,890.60 ",,,
Boston Police Department,Police Sergeant,02136,"$109,419.73 ",,,
Boston Police Department,Police Officer Harborboat 3$8,02021,"$102,122.60 ",,,
Boston Police Department,Police Offc Comm Serv Offc 3$8,02370,"$12,164.04 ",,,
Boston Police Department,Police Offc Mobile Offc 2$6,02136,"$102,012.10 ",,,
Boston Police Department,Police Sergeant (Det),02123,"$80,629.46 ",,,
Boston Police Department,Police Sergeant,02339,"$110,327.46 ",,,
Boston Police Department,Police Offc Ballistician 4$10,02126,"$99,684.05 ",,,
Boston Police Department,Police Lieutenant,02131,"$127,071.05 ",,,
Boston Police Department,Police Sergeant/Comm Serv Offc,02136,"$30,054.85 ",,,
Boston Police Department,Police Offc Acad Instr 2$6,02136,"$102,012.10 ",,,
Boston Police Department,Police Offc/FgrPrt Ev Tch 4$10,02136,"$91,766.10 ",,,
Boston Police Department,Police Offc Hackney Invest 3$8,02122,,,,
Boston Police Department,Police Officer,02125,"$24,066.92 ",,,
Boston Police Department,Police Sergeant,02122,"$107,862.10 ",,,
Boston Police Department,Police Detective,02466,"$94,956.25 ",,,
Boston Police Department,Police Officer Hdq Dispatch,02136,"$103,423.88 ",,,
Boston Police Department,Police Captain (Det),02359,"$148,529.68 ",,,
Boston Police Department,Police Detective,02120,"$103,520.64 ",,,
Boston Police Department,Police Sergeant (Det),02132,"$112,667.56 ",,,
Boston Police Department,Police Lieutenant,02184,"$126,560.07 ",,,
Boston Police Department,Police Sergeant (Det),02021,"$116,108.98 ",,,
Boston Police Department,Police Detective,02375,"$105,913.95 ",,,
Boston Police Department,Supn Bpd,02066,"$180,368.68 ",,,
Boston Police Department,Police Detective,02072,"$94,956.25 ",,,
Boston Police Department,Police Offc Acad Instr 2$6,02043,"$93,511.92 ",,,
Boston Police Department,Police Sergeant (Det),02375,"$116,108.98 ",,,
Boston Police Department,Police Officer,02343,"$100,392.69 ",,,
Boston Police Department,Supv-Payrolls,02127,"$104,878.20 ",,,
Boston Police Department,Buyer,02129,"$64,007.46 ",,,
Boston Police Department,"CommunEquipOp III, R-13 (CT)",02171,"$54,950.05 ",,,
Boston Police Department,Police Dispatcher,02021,"$77,170.46 ",,,
Boston Police Department,Communic. EquipOp II 9II(SS),02131,"$51,551.70 ",,,
Boston Police Department,ChCommEquipOper I (SCTT),02125,"$57,823.00 ",,,
Boston Police Department,Prin Admin Asst (Bpd/Adm.),02121,"$89,342.76 ",,,
Boston Police Department,Exec Asst (BPD),02132,"$124,771.15 ",,,
Boston Police Department,Supv Graphic Arts Svc (BPD),02346,"$113,451.83 ",,,
Boston Police Department,Prin Personnnel Officer,02124,"$40,862.79 ",,,
Boston Police Department,"CommunEquipOp III, R-13 (CT)",02302,"$47,313.66 ",,,
Boston Police Department,Police Offc Comm Serv Offc 3$8,02136,"$94,704.21 ",,,
Boston Police Department,Prin Admin Asst,02081,"$7,499.67 ",,,
Boston Police Department,Head Clerk & Secretary,02148,"$52,641.32 ",,,
Boston Police Department,Jr  Building Custodian,02122,,,,
Boston Police Department,Mtr Eq Rpprs ClassIBPDFleetBFD,02072,"$83,812.89 ",,,
Boston Police Department,Police Clerk And Typist,02136,"$1,840.68 ",,,
Boston Police Department,Interpreter,02451,"$27,014.52 ",,,
Boston Police Department,Police Offc Canine Offc 2$6,02302,"$92,748.52 ",,,
Boston Police Department,Police Officer,02139,"$101,680.60 ",,,
Boston Police Department,Police Sergeant,02021,"$113,179.98 ",,,
Boston Police Department,Police Sergeant (Det),02122,"$48,651.89 ",,,
Boston Police Department,Police Detective,02351,"$37,969.12 ",,,
Boston Police Department,Police Detective,02136,"$105,913.95 ",,,
Boston Police Department,Police Sergeant (Det),02131,"$109,975.43 ",,,
Boston Police Department,Police Offc/Auto Invest 4$10,02127,"$91,766.10 ",,,
Boston Police Department,Police Officer,02188,"$100,210.65 ",,,
Boston Police Department,Police Officer,02122,"$91,849.36 ",,,
Boston Police Department,Police Sergeant,02188,"$108,375.30 ",,,
Boston Police Department,Police Offc Ballistician 4$10,02072,"$90,931.31 ",,,
Boston Police Department,Police Officer Hdq Dispatch,02124,"$103,890.60 ",,,
Boston Police Department,Communic. EquipOp II 9II(SS),02130,"$52,800.77 ",,,
Boston Police Department,Police Clerk And Typist,02121,"$47,357.89 ",,,
Boston Police Department,Police Clerk And Typist,02301,"$46,817.72 ",,,
Boston Police Department,PoliceSergeant/SupvCourtCases,02136,"$107,599.31 ",,,
Boston Police Department,Head Admin Clerk,02072,"$45,975.30 ",,,
Boston Police Department,Police Offc Comm Serv Offc 3$8,02119,"$100,515.58 ",,,
Boston Police Department,Police Officer,01960,"$101,680.60 ",,,
Boston Police Department,Police Detective,02052,"$95,485.91 ",,,
Boston Police Department,Police Officer,02026,"$101,680.60 ",,,
Boston Police Department,Police Detective,02150,"$19,142.08 ",,,
Boston Police Department,PoliceSergeant/SupvCourtCases,02081,"$107,599.31 ",,,
Boston Police Department,Police Officer,02048,"$101,680.60 ",,,
Boston Police Department,Police Detective,02131,"$94,956.25 ",,,
Boston Police Department,Police Offc/Bomb Squad,02359,"$95,390.42 ",,,
Boston Police Department,Police Sergeant (Det),01880,"$113,179.69 ",,,
Boston Police Department,Police Officer Hdq Dispatch,02184,"$95,390.42 ",,,
Boston Police Department,Police Sergeant (Det),02170,"$113,179.69 ",,,
Boston Police Department,Police Sergeant,02038,"$4,200.68 ",,,
Boston Police Department,Supn Bpd,02090,"$169,466.25 ",,,
Boston Police Department,Police Offc Hackney Invest 3$8,02152,"$102,122.60 ",,,
Boston Police Department,Police Officer,02151,"$91,179.36 ",,,
Boston Police Department,Police Offc Hackney Invest 3$8,02130,"$100,680.29 ",,,
Boston Police Department,Police Detective,02302,"$97,413.67 ",,,
Boston Police Department,Police Sergeant (Det),02382,"$116,108.98 ",,,
Boston Police Department,Police Officer,02071,"$100,210.65 ",,,
Boston Police Department,Police Lieutenant,02364,"$123,792.96 ",,,
Boston Police Department,Police Sergeant,02186,"$122,164.49 ",,,
Boston Police Department,Police Sergeant,02135,"$107,012.10 ",,,
Boston Police Department,Police Offc Comm Serv Offc 3$8,02301,"$6,655.83 ",,,
Boston Police Department,Police Offc Comm Serv Offc 3$8,02122,"$102,122.60 ",,,
Boston Police Department,Police Officer,02090,"$91,179.36 ",,,
Boston Police Department,Police Detective,02090,"$104,657.62 ",,,
Boston Police Department,Police Officer,02375,,,,
Boston Police Department,Police Sergeant (Det),02066,"$117,408.98 ",,,
Boston Police Department,Police Officer,02351,"$95,083.66 ",,,
Boston Police Department,Police Officer,02066,"$100,210.65 ",,,
Boston Police Department,Police Offc Acad Instr 2$6,02124,"$55,003.10 ",,,
Boston Police Department,Police Offc Ballistician 4$10,02136,"$91,944.46 ",,,
Boston Police Department,Police Offc Acad Instr 2$6,02132,"$91,531.27 ",,,
Boston Police Department,Police Officer Hdq Dispatch,02127,"$57,683.74 ",,,
Boston Police Department,Police Detective,01746,"$97,413.67 ",,,
Boston Police Department,Police Lieutenant,02190,"$126,560.07 ",,,
Boston Police Department,Police Sergeant (Det),01906,"$113,179.69 ",,,
Boston Police Department,Police Offc/Juvenile Offc 4$10,02126,"$91,766.10 ",,,
Boston Police Department,"CommunEquipOp III, R-13 (CT)",02132,"$53,747.62 ",,,
Boston Police Department,Police Dispatcher,02124,"$76,946.52 ",,,
Boston Police Department,Sr Radio Communications Tech,02129,"$29,784.66 ",,,
Boston Police Department,Communic. EquipOp II 9II(SS),02302,"$36,021.80 ",,,
Boston Police Department,Exec Sec (B.P.D.),02132,"$64,007.39 ",,,
Boston Police Department,"CommunEquipOp III, R-13 (CT)",02124,"$53,699.34 ",,,
Boston Police Department,Research Assist (Bpd),02130,"$56,921.80 ",,,
Boston Police Department,Supv Mtr Equip Rpprs (BPD),02132,"$89,692.82 ",,,
Boston Police Department,Police Captain/DDC,02186,"$146,894.28 ",,,
Boston Police Department,PoliceSergeant/SupvCourtCases,02127,"$77,198.39 ",,,
Boston Police Department,Sr Radio Communications Tech,02382,"$8,741.16 ",,,
Boston Police Department,Liaison Agent (BPD),01940,"$48,683.99 ",,,
Boston Police Department,Police Detective,02370,"$105,913.95 ",,,
Boston Police Department,Exec Sec (B.P.D.),02120,"$64,007.34 ",,,
Boston Police Department,Police Offc Acad Instr 2$6,02324,"$89,959.15 ",,,
Boston Police Department,Sr Bldg Custodian (BPD)##,02121,"$45,659.14 ",,,
Boston Police Department,Prin Admin Asst,02136,"$96,765.61 ",,,
Boston Police Department,Police Offc Canine 2$6,02379,"$100,563.02 ",,,
Boston Police Department,Police Detective,02054,"$94,956.25 ",,,
Boston Police Department,Police Lieut/Acad Instr,02062,"$121,710.44 ",,,
Boston Police Department,Dep Supn (Bpd),02127,"$158,907.86 ",,,
Boston Police Department,Police Detective,02056,"$48,642.48 ",,,
Boston Police Department,Police Sergeant (Det),02050,"$116,108.98 ",,,
Boston Police Department,Police Captain/DDC,02035,"$146,893.76 ",,,
Boston Police Department,Police Sergeant,02072,"$109,434.68 ",,,
Boston Police Department,Police Detective,01915,"$92,544.90 ",,,
Boston Police Department,Police Officer Hdq Dispatch,02050,"$103,890.60 ",,,
Boston Police Department,Police Offc Acad Instr 2$6,02467,"$100,563.02 ",,,
Boston Police Department,Police Offc Comm Serv Offc 3$8,02048,"$93,622.42 ",,,
Boston Police Department,Police Officer,02341,"$17,223.17 ",,,
Boston Police Department,Sr Bldg Custodian (BPD)##,02128,"$45,744.96 ",,,
Boston Police Department,Head Clerk & Secretary,02128,"$52,641.35 ",,,
Boston Police Department,Police Clerk And Typist,02184,"$46,817.68 ",,,
Boston Police Department,Police Sergeant/Mobile Oper,02124,"$104,876.64 ",,,
Boston Police Department,Police Offc Acad Instr 2$6,02026,"$98,756.62 ",,,
Boston Police Department,Police Detective,02021,"$96,976.24 ",,,
Boston Police Department,Police Offc Harborboat 3$8,02445,"$93,550.46 ",,,
Boston Police Department,Police Officer,02766,"$98,849.44 ",,,
Boston Police Department,Police Lieutenant,02359,"$138,583.80 ",,,
Boston Police Department,Police Officer,01826,"$93,180.42 ",,,
Boston Police Department,Police Offc Hackney Invest 3$8,02379,"$101,967.76 ",,,
Boston Police Department,Police Officer,02035,"$91,179.36 ",,,
Boston Police Department,Police Officer,02032,"$9,090.65 ",,,
Boston Police Department,Police Detective,02169,"$97,413.67 ",,,
Boston Police Department,Police Detective,02339,"$62,727.80 ",,,
Boston Police Department,Police Lieutenant (Det),01867,"$130,493.63 ",,,
BPS School Safety Service,Sen Supervisor Safety,02121,"$107,789.61 ",,,
Boston Police Department,Police Officer Hdq Dispatch,02190,"$93,115.73 ",,,
Boston Police Department,Police Offc Acad Instr 2$6,02341,"$93,511.92 ",,,
Boston Police Department,Police Offc/Auto Invest 4$10,02368,"$91,766.10 ",,,
Boston Police Department,Police Offc Mobile Offc 2$6,02368,,,,
