DepartmentName,JobTitle,Salary,Zip
Boston Police Department,Police Sergeant,"$110,031.40",
Boston Police Department,Dep Supn (Bpd),"$73,111.73",
Boston Police Department,Police Sergeant (Det),"$122,211.31",
Boston Police Department,Police Sergeant (Det),"$113,179.69",
Boston Police Department,Police Detective,"$3,411.18",
Boston Police Department,Police Officer,"$91,540.18",
Boston Police Department,Police Officer,"$12,711.79",
Boston Police Department,Police Offc Hackney Invest 3$8,"$100,680.29",
Boston Police Department,PoliceSergeant/SupvCourtCases,($389.49),
Boston Police Department,Police Sergeant (Det),"$67,774.01",
Boston Police Department,Police Sergeant (Det),"$100,347.58",
Boston Police Department,Police Sergeant/AcadInstructor,"$107,599.31",
Boston Police Department,Police Sergeant (Det),"$113,179.69",
Boston Police Department,Police Offc Comm Serv Offc 3$8,"$100,680.29",
Boston Police Department,Police Officer,"$89,981.91",
Boston Police Department,Police Offc/Bomb Squad,"$80,082.42",
Boston Police Department,Police Sergeant (Det),"$115,189.99",
Boston Police Department,Police Sergeant,"$108,444.01",
Boston Police Department,Police Offc/Juvenile Offc 4$10,,
Boston Police Department,Prin Admin Asst,"$107,497.85",
Boston Police Department,Public Relations Rep(Bpd),"$46,817.70",
Boston Police Department,Police Officer,"$3,208.92",
Boston Police Department,Police Officer,"$93,180.42",
Boston Police Department,Police Offc Comm Serv Offc 3$8,"$93,622.42",
Boston Police Department,Police Detective,"$97,413.67",
Boston Police Department,Police Officer,"$91,179.36",
Boston Police Department,Police Lieutenant,"$136,221.15",
Boston Police Department,Police Sergeant (Det),"$12,550.09",
Boston Police Department,Police Lieutenant (Det),"$129,530.83",
Boston Police Department,Supn Bpd,"$179,864.28",
Boston Police Department,Police Sergeant (Det),"$116,108.98",
Workers Compensation Service,Workers Comp Job Classificatn,,
Boston Police Department,Police Officer,"$92,762.16",
Boston Police Department,Police Dispatcher,"$75,890.55",
Boston Police Department,Police Sergeant,"$109,781.75",
Boston Police Department,Police Officer,"$100,783.56",
Boston Police Department,Police Lieutenant,"$127,142.92",
Boston Police Department,Police Officer,"$101,680.60",
Boston Police Department,Police Lieutenant (Det),"$129,426.11",
Boston Police Department,Police Detective,"$97,413.67",
Boston Police Department,Supn Bpd,"$164,568.20",
Boston Police Department,Police Detective,"$49,462.13",
Boston Police Department,Police Detective,"$73,097.51",
Boston Police Department,Police Sergeant (Det),"$116,108.98",
Boston Police Department,Police Officer,"$101,680.60",
Boston Police Department,Police Lieutenant,"$126,560.07",
Boston Police Department,Police Lieutenant/Hdq Dispatch,"$131,665.65",
Boston Police Department,Police Sergeant/Pd Det Serv,"$107,599.31",
Boston Police Department,Head Clerk & Secretary,"$52,641.34",
Boston Police Department,Police Sergeant (Det),"$113,179.69",
Boston Police Department,Police Officer,"$55,270.13",
Boston Police Department,Police Officer,"$91,179.36",
Boston Police Department,Police Officer,"$101,680.60",
Boston Police Department,Police Captain,"$142,886.58",
Boston Police Department,Police Lieutenant,"$127,442.47",
Boston Police Department,Police Sergeant/Hackney Invest,"$107,599.31",
Boston Police Department,Police Detective,"$103,987.91",
Boston Police Department,Police Sergeant,"$115,518.64",
Boston Police Department,Police Sergeant,"$76,504.03",
Boston Police Department,Police Offc Bomb Squad,"$93,527.47",
Boston Police Department,Police Sergeant,"$112,310.38",
Boston Police Department,Police Offc Hackney Invest 3$8,"$93,622.42",
Boston Police Department,Police Lieutenant (Det),"$130,968.37",
Boston Police Department,Police Lieutenant/Hdq Dispatch,"$125,715.33",
Boston Police Department,Police Clerk And Typist,"$46,817.70",
Boston Police Department,Police Offc Bomb Squad,"$95,390.42",
Boston Police Department,Police Lieutenant (Det),"$129,737.14",
Boston Police Department,Police Offc Comm Serv Offc 3$8,"$72,854.70",
Boston Police Department,Police Sergeant/Hackney Invest,"$110,334.25",
Boston Police Department,Police Detective,"$103,987.91",
Boston Police Department,Police Officer Harborboat 3$8,"$93,622.42",
Boston Police Department,Police Sergeant,"$112,757.88",
Boston Police Department,Supn Bpd,"$181,982.71",
Boston Police Department,Prin Admin Asst,"$97,647.06",
Boston Police Department,Police Dispatcher,"$75,890.62",
Boston Police Department,Police Offc Acad Instr 2$6,"$102,012.10",
Boston Police Department,Police Offc Hackney Invest 3$8,"$91,648.97",
Boston Police Department,Police Offc Hackney Invest 3$8,"$93,622.42",
Boston Police Department,Police Offc Comm Serv Offc 3$8,"$102,122.60",
Boston Police Department,Police Offc Comm Serv Offc 3$8,"$100,583.30",
Boston Police Department,Police Captain,"$146,058.90",
Boston Police Department,Police Offc Canine 2$6,"$14,733.76",
Boston Police Department,Police Detective,"$103,987.91",
Boston Police Department,Police Lieutenant,"$123,367.14",
Boston Police Department,Police Sergeant (Det),"$122,211.31",
Boston Police Department,Supn-In Chief,"$199,243.98",
Boston Police Department,Police Offc Comm Serv Offc 3$8,"$102,122.60",
Boston Police Department,Police Lieutenant (Det),"$129,530.83",
Boston Police Department,Police Lieutenant,"$127,720.84",
Boston Police Department,Police Sergeant/FgrPrt Ev Tech,"$48,626.96",
Boston Police Department,Police Sergeant (Det),"$105,365.92",
Boston Police Department,Police Detective,"$97,413.67",
Boston Police Department,Police Sergeant (Det),"$111,879.69",
Boston Police Department,Police Lieutenant (Det),"$129,530.83",
Boston Police Department,Police Detective,"$97,413.67",
Boston Police Department,Police Lieutenant,"$127,416.64",
Boston Police Department,Police Sergeant/CHF RADIO DISP,"$113,328.01",
Boston Police Department,Police Officer,"$98,669.00",
Boston Police Department,Police Offc Mobile Offc 2$6,"$101,071.92",
Boston Police Department,Interpreter,"$27,014.52",
Boston Police Department,Police Officer,"$29,847.00",
Boston Police Department,Admin Asst (Finance),"$15,216.08",
Boston Police Department,Police Lieutenant,"$127,720.84",
Boston Police Department,Sr Budget Anl (BPD)(H&H),"$64,007.34",
Boston Police Department,Police Officer,,
Boston Police Department,Police Officer,,
Boston Police Department,Police Detective,"$72,487.60",
Boston Police Department,Police Officer,,
Boston Police Department,Police Lieutenant,"$126,586.33",
Boston Police Department,Police Officer,"$101,680.60",
Boston Police Department,Police Offc Harborboat 3$8,,
Boston Police Department,Sr Radio Communications Tech,"$84,173.98",
Boston Police Department,Police Offc/Auto Invest 4$10,,
Boston Police Department,Police Clerk And Typist,"$46,817.69",
Boston Police Department,Head Clerk,"$51,663.71",
Boston Police Department,Admin Secretary,"$56,921.80",
Boston Police Department,Social Worker (BPD),"$3,327.65",
Boston Police Department,School Traffic Supv,"$14,341.14",
Boston Police Department,Police Clerk And Typist,"$46,817.70",
Boston Police Department,Sr Data Proc Sys Anl (ASD/DPU),"$113,451.93",
Boston Police Department,Store Control Supv(Bpd Fleet),"$104,017.10",
Boston Police Department,Police Sergeant/Mobile Oper,"$109,335.75",
Boston Police Department,Head Clerk & Secretary,"$2,024.66",
Boston Retirement System,Dir-Security,"$9,240.00",
Boston Police Department,Police Dispatcher,"$77,022.09",
Boston Police Department,Police Offc/Auto Invest 4$10,"$100,797.80",
Boston Retirement System,Employment Agreement,"$5,320.00",
Boston Police Department,Supn Bpd,"$181,982.71",
Boston Police Department,Communic. EquipOp II 9II(SS),"$52,513.68",
Boston Police Department,Jr  Building Custodian,"$43,562.59",
Boston Police Department,Head Clerk,"$30,374.25",
BPS East Boston High,Prin Clerk/School Sec 21,"$59,205.35",
Boston Police Department,Police Officer,"$101,680.60",
Boston Police Department,Police Lieutenant,"$23,733.04",
Boston Police Department,Police Sergeant (Det),"$4,728.42",
Boston Police Department,Police Lieutenant (Det),"$129,530.83",
Boston Police Department,Police Lieutenant (Det),"$129,530.83",
Boston Police Department,IBIS Support Technician,"$81,308.33",
Boston Police Department,Police Sergeant,,
Boston Police Department,Police Detective,,
Boston Police Department,Police Officer,"$59,932.31",
Boston Police Department,Police Officer,"$93,180.42",
Boston Police Department,Supn Bpd,"$110,177.77",
Boston Police Department,Supn Bpd,"$22,891.94",
Boston Police Department,Police Sergeant,,
Boston Police Department,Police Detective,"$94,956.25",
Boston Police Department,Police Offc Comm Serv Offc 3$8,"$91,648.97",
Boston Police Department,Police Officer,"$8,611.24",
Boston Police Department,Research Analyst,"$48,684.01",
Boston Police Department,Data Proc Equip Tech (BPD),"$74,850.53",
Boston Police Department,Police Offc/Juvenile Offc 4$10,"$37,015.37",
Boston Police Department,Police Officer,"$100,210.65",
Boston Police Department,Police Officer,"$100,210.65",
Boston Police Department,Police Officer Hdq Dispatch,"$99,571.57",
Boston Police Department,Police Detective,"$1,869.06",
Boston Police Department,Police Sergeant (Det),"$124,158.09",
Boston Police Department,Police Detective,,
Boston Police Department,Police Officer,"$98,638.34",
Boston Police Department,Police Lieutenant (Det),"$128,944.72",
Boston Police Department,Police Detective,,
Boston Police Department,Police Officer,"$5,830.76",
Boston Police Department,Police Lieutenant (Det),"$129,530.83",
Boston Police Department,Police Sergeant (Det),"$4,609.13",
Boston Police Department,Police Sergeant/Comm Serv Offc,"$13,479.75",
Boston Police Department,Police Offc/Auto Invest 4$10,"$91,354.31",
Boston Police Department,Police Offc Acad Instr 2$6,,
Boston Police Department,Police Captain (Det),"$148,529.68",
Boston Police Department,Police Detective,"$17,557.49",
Boston Police Department,Police Detective,"$10,279.84",
Boston Police Department,Police Detective,"$51,777.41",
Boston Police Department,Police Detective,"$67,481.95",
Boston Police Department,Police Lieutenant (Det),"$57,439.01",
Boston Police Department,Police Offc/Bomb Squad,"$93,569.06",
Boston Police Department,Police Officer Hdq Dispatch,"$103,890.60",
Boston Police Department,Police Sergeant,"$109,419.73",
Boston Police Department,Police Officer Harborboat 3$8,"$102,122.60",
Boston Police Department,Police Offc Comm Serv Offc 3$8,"$12,164.04",
Boston Police Department,Police Offc Mobile Offc 2$6,"$102,012.10",
Boston Police Department,Police Sergeant (Det),"$80,629.46",
Boston Police Department,Police Sergeant,"$110,327.46",
Boston Police Department,Police Offc Ballistician 4$10,"$99,684.05",
Boston Police Department,Police Lieutenant,"$127,071.05",
Boston Police Department,Police Sergeant/Comm Serv Offc,"$30,054.85",
Boston Police Department,Police Offc Acad Instr 2$6,"$102,012.10",
Boston Police Department,Police Offc/FgrPrt Ev Tch 4$10,"$91,766.10",
Boston Police Department,Police Offc Hackney Invest 3$8,,
Boston Police Department,Police Officer,"$24,066.92",
Boston Police Department,Police Sergeant,"$107,862.10",
Boston Police Department,Police Detective,"$94,956.25",
Boston Police Department,Police Officer Hdq Dispatch,"$103,423.88",
Boston Police Department,Police Captain (Det),"$148,529.68",
Boston Police Department,Police Detective,"$103,520.64",
Boston Police Department,Police Sergeant (Det),"$112,667.56",
Boston Police Department,Police Lieutenant,"$126,560.07",
Boston Police Department,Police Sergeant (Det),"$116,108.98",
Boston Police Department,Police Detective,"$105,913.95",
Boston Police Department,Supn Bpd,"$180,368.68",
Boston Police Department,Police Detective,"$94,956.25",
Boston Police Department,Police Offc Acad Instr 2$6,"$93,511.92",
Boston Police Department,Police Sergeant (Det),"$116,108.98",
Boston Police Department,Police Officer,"$100,392.69",
Boston Police Department,Supv-Payrolls,"$104,878.20",
Boston Police Department,Buyer,"$64,007.46",
Boston Police Department,"CommunEquipOp III, R-13 (CT)","$54,950.05",
Boston Police Department,Police Dispatcher,"$77,170.46",
Boston Police Department,Communic. EquipOp II 9II(SS),"$51,551.70",
Boston Police Department,ChCommEquipOper I (SCTT),"$57,823.00",
Boston Police Department,Prin Admin Asst (Bpd/Adm.),"$89,342.76",
Boston Police Department,Exec Asst (BPD),"$124,771.15",
Boston Police Department,Supv Graphic Arts Svc (BPD),"$113,451.83",
Boston Police Department,Prin Personnnel Officer,"$40,862.79",
Boston Police Department,"CommunEquipOp III, R-13 (CT)","$47,313.66",
Boston Police Department,Police Offc Comm Serv Offc 3$8,"$94,704.21",
Boston Police Department,Prin Admin Asst,"$7,499.67",
Boston Police Department,Head Clerk & Secretary,"$52,641.32",
Boston Police Department,Jr  Building Custodian,,
Boston Police Department,Mtr Eq Rpprs ClassIBPDFleetBFD,"$83,812.89",
Boston Police Department,Police Clerk And Typist,"$1,840.68",
Boston Police Department,Interpreter,"$27,014.52",
Boston Police Department,Police Offc Canine Offc 2$6,"$92,748.52",
Boston Police Department,Police Officer,"$101,680.60",
Boston Police Department,Police Sergeant,"$113,179.98",
Boston Police Department,Police Sergeant (Det),"$48,651.89",
Boston Police Department,Police Detective,"$37,969.12",
Boston Police Department,Police Detective,"$105,913.95",
Boston Police Department,Police Sergeant (Det),"$109,975.43",
Boston Police Department,Police Offc/Auto Invest 4$10,"$91,766.10",
Boston Police Department,Police Officer,"$100,210.65",
Boston Police Department,Police Officer,"$91,849.36",
Boston Police Department,Police Sergeant,"$108,375.30",
Boston Police Department,Police Offc Ballistician 4$10,"$90,931.31",
Boston Police Department,Police Officer Hdq Dispatch,"$103,890.60",
Boston Police Department,Communic. EquipOp II 9II(SS),"$52,800.77",
Boston Police Department,Police Clerk And Typist,"$47,357.89",
Boston Police Department,Police Clerk And Typist,"$46,817.72",
Boston Police Department,PoliceSergeant/SupvCourtCases,"$107,599.31",
Boston Police Department,Head Admin Clerk,"$45,975.30",
Boston Police Department,Police Offc Comm Serv Offc 3$8,"$100,515.58",
Boston Police Department,Police Officer,"$101,680.60",
Boston Police Department,Police Detective,"$95,485.91",
Boston Police Department,Police Officer,"$101,680.60",
Boston Police Department,Police Detective,"$19,142.08",
Boston Police Department,PoliceSergeant/SupvCourtCases,"$107,599.31",
Boston Police Department,Police Officer,"$101,680.60",
Boston Police Department,Police Detective,"$94,956.25",
Boston Police Department,Police Offc/Bomb Squad,"$95,390.42",
Boston Police Department,Police Sergeant (Det),"$113,179.69",
Boston Police Department,Police Officer Hdq Dispatch,"$95,390.42",
Boston Police Department,Police Sergeant (Det),"$113,179.69",
Boston Police Department,Police Sergeant,"$4,200.68",
Boston Police Department,Supn Bpd,"$169,466.25",
Boston Police Department,Police Offc Hackney Invest 3$8,"$102,122.60",
Boston Police Department,Police Officer,"$91,179.36",
Boston Police Department,Police Offc Hackney Invest 3$8,"$100,680.29",
Boston Police Department,Police Detective,"$97,413.67",
Boston Police Department,Police Sergeant (Det),"$116,108.98",
Boston Police Department,Police Officer,"$100,210.65",
Boston Police Department,Police Lieutenant,"$123,792.96",
Boston Police Department,Police Sergeant,"$122,164.49",
Boston Police Department,Police Sergeant,"$107,012.10",
Boston Police Department,Police Offc Comm Serv Offc 3$8,"$6,655.83",
Boston Police Department,Police Offc Comm Serv Offc 3$8,"$102,122.60",
Boston Police Department,Police Officer,"$91,179.36",
Boston Police Department,Police Detective,"$104,657.62",
Boston Police Department,Police Officer,,
Boston Police Department,Police Sergeant (Det),"$117,408.98",
Boston Police Department,Police Officer,"$95,083.66",
Boston Police Department,Police Officer,"$100,210.65",
Boston Police Department,Police Offc Acad Instr 2$6,"$55,003.10",
Boston Police Department,Police Offc Ballistician 4$10,"$91,944.46",
Boston Police Department,Police Offc Acad Instr 2$6,"$91,531.27",
Boston Police Department,Police Officer Hdq Dispatch,"$57,683.74",
Boston Police Department,Police Detective,"$97,413.67",
Boston Police Department,Police Lieutenant,"$126,560.07",
Boston Police Department,Police Sergeant (Det),"$113,179.69",
Boston Police Department,Police Offc/Juvenile Offc 4$10,"$91,766.10",
Boston Police Department,"CommunEquipOp III, R-13 (CT)","$53,747.62",
Boston Police Department,Police Dispatcher,"$76,946.52",
Boston Police Department,Sr Radio Communications Tech,"$29,784.66",
Boston Police Department,Communic. EquipOp II 9II(SS),"$36,021.80",
Boston Police Department,Exec Sec (B.P.D.),"$64,007.39",
Boston Police Department,"CommunEquipOp III, R-13 (CT)","$53,699.34",
Boston Police Department,Research Assist (Bpd),"$56,921.80",
Boston Police Department,Supv Mtr Equip Rpprs (BPD),"$89,692.82",
Boston Police Department,Police Captain/DDC,"$146,894.28",
Boston Police Department,PoliceSergeant/SupvCourtCases,"$77,198.39",
Boston Police Department,Sr Radio Communications Tech,"$8,741.16",
Boston Police Department,Liaison Agent (BPD),"$48,683.99",
Boston Police Department,Police Detective,"$105,913.95",
Boston Police Department,Exec Sec (B.P.D.),"$64,007.34",
Boston Police Department,Police Offc Acad Instr 2$6,"$89,959.15",
Boston Police Department,Sr Bldg Custodian (BPD)##,"$45,659.14",
Boston Police Department,Prin Admin Asst,"$96,765.61",
Boston Police Department,Police Offc Canine 2$6,"$100,563.02",
Boston Police Department,Police Detective,"$94,956.25",
Boston Police Department,Police Lieut/Acad Instr,"$121,710.44",
Boston Police Department,Dep Supn (Bpd),"$158,907.86",
Boston Police Department,Police Detective,"$48,642.48",
Boston Police Department,Police Sergeant (Det),"$116,108.98",
Boston Police Department,Police Captain/DDC,"$146,893.76",
Boston Police Department,Police Sergeant,"$109,434.68",
Boston Police Department,Police Detective,"$92,544.90",
Boston Police Department,Police Officer Hdq Dispatch,"$103,890.60",
Boston Police Department,Police Offc Acad Instr 2$6,"$100,563.02",
Boston Police Department,Police Offc Comm Serv Offc 3$8,"$93,622.42",
Boston Police Department,Police Officer,"$17,223.17",
Boston Police Department,Sr Bldg Custodian (BPD)##,"$45,744.96",
Boston Police Department,Head Clerk & Secretary,"$52,641.35",
Boston Police Department,Police Clerk And Typist,"$46,817.68",
Boston Police Department,Police Sergeant/Mobile Oper,"$104,876.64",
Boston Police Department,Police Offc Acad Instr 2$6,"$98,756.62",
Boston Police Department,Police Detective,"$96,976.24",
Boston Police Department,Police Offc Harborboat 3$8,"$93,550.46",
Boston Police Department,Police Officer,"$98,849.44",
Boston Police Department,Police Lieutenant,"$138,583.80",
Boston Police Department,Police Officer,"$93,180.42",
Boston Police Department,Police Offc Hackney Invest 3$8,"$101,967.76",
Boston Police Department,Police Officer,"$91,179.36",
Boston Police Department,Police Officer,"$9,090.65",
Boston Police Department,Police Detective,"$97,413.67",
Boston Police Department,Police Detective,"$62,727.80",
Boston Police Department,Police Lieutenant (Det),"$130,493.63",
BPS School Safety Service,Sen Supervisor Safety,"$107,789.61",
Boston Police Department,Police Officer Hdq Dispatch,"$93,115.73",
Boston Police Department,Police Offc Acad Instr 2$6,"$93,511.92",
Boston Police Department,Police Offc/Auto Invest 4$10,"$91,766.10",
Boston Police Department,Police Offc Mobile Offc 2$6,,
Boston Police Department,Police Sergeant (Det),"$110,273.14",
Boston Police Department,Police Sergeant,"$113,243.78",
Boston Police Department,Police Sergeant,"$107,012.72",
Boston Police Department,Jr  Building Custodian,"$43,962.54",
Boston Police Department,Police Clerk And Typist,"$46,817.70",
Boston Police Department,Office Manager,"$2,189.30",
Boston Police Department,Police Officer,"$93,265.92",
Boston Police Department,Police Sergeant/Mobile Oper,"$110,334.25",
Boston Police Department,Police Offc/Hosp Liaison 4$10,"$91,766.10",
Boston Police Department,Police Lieut (Det),"$129,530.83",
Boston Police Department,Police Offc Bomb Squad,"$93,527.47",
Boston Police Department,Police Detective,"$94,956.25",
Boston Police Department,Police Offc/Bomb Squad,"$93,527.47",
Boston Police Department,Police Detective,"$96,256.25",
Boston Police Department,Police Offc/Bomb Squad,"$93,527.47",
Boston Police Department,Police Sergeant/Bomb Squad,"$111,991.75",
Boston Police Department,Police Offc Comm Serv Offc 3$8,"$93,498.97",
Boston Police Department,Police Sergeant (Det),"$124,609.16",
Boston Police Department,Police Officer Hdq Dispatch,"$102,558.79",
Boston Police Department,Police Detective,"$104,402.15",
Workers Compensation Service,Workers Comp Job Classificatn,,
Boston Police Department,Police Sergeant,"$121,042.43",
Boston Police Department,Dir-Crimalistic Services(Bpd),"$124,771.14",
Boston Police Department,Signalperson-Electrician,"$91,028.60",
Boston Police Department,MtrEquipRpprClassIIBPDFleetBFD,"$68,242.57",
Boston Police Department,Social Worker (BPD),"$69,215.50",
Boston Police Department,Police Officer,"$100,210.65",
Boston Police Department,Police Officer,"$101,680.60",
Boston Police Department,Police Detective,"$93,677.05",
Boston Police Department,Police Captain (Det),"$137,104.32",
Boston Police Department,Police Offc Comm Serv Offc 3$8,"$100,680.29",
Boston Police Department,Police Detective,"$97,413.67",
Boston Police Department,Police Sergeant/Hdq Dispatcher,"$117,225.54",
Boston Police Department,Police Sergeant/Comm Serv Offc,"$110,334.25",
Boston Police Department,Police Officer,"$99,760.65",
Boston Police Department,Police Detective,"$104,873.95",
Boston Police Department,Dep Supn (Bpd),"$163,209.02",
Boston Police Department,"CommunEquipOp III, R-13 (CT)","$53,873.36",
Boston Police Department,Head Trainer,"$84,174.00",
Boston Police Department,Police Clerk And Typist,"$46,817.69",
Boston Police Department,Police Officer,"$89,653.37",
Boston Police Department,Police Sergeant/AcadInstructor,"$106,569.45",
Boston Police Department,Police Detective,"$100,786.00",
Boston Police Department,Police Offc/Juvenile Offc 4$10,"$99,225.35",
Boston Police Department,Police Officer,"$81,196.24",
Boston Police Department,Police Detective,"$100,786.00",
Boston Police Department,Police Officer,,
Boston Police Department,School Traffic Supv,"$11,628.06",
Boston Police Department,Community Services Offc,"$74,611.99",
Boston Police Department,Police Clerk And Typist,"$46,817.73",
Boston Police Department,Police Detective,,
Boston Police Department,Police Offc Canine 2$6,"$91,904.87",
Boston Police Department,Police Lieutenant,"$120,889.79",
Boston Police Department,Police Officer,"$90,498.50",
Boston Police Department,Police Officer,"$91,573.37",
Boston Police Department,Police Offc/FgrPrt Ev Tch 4$10,"$65,267.73",
Boston Police Department,Police Offc Comm Serv Offc 3$8,"$90,992.47",
Boston Police Department,Police Offc Hackney Invest 3$8,"$92,015.37",
Boston Police Department,Police Officer,"$100,073.58",
Boston Police Department,Police Offc Harborboat 3$8,"$96,898.68",
Boston Police Department,Police Sergeant,"$109,600.06",
Boston Police Department,Police Officer,"$81,280.71",
Boston Police Department,Police Sergeant/FgrPrt Ev Tech,"$37,955.94",
Boston Police Department,Police Offc Canine 2$6,"$90,559.87",
Boston Police Department,Communic. EquipOp II 9II(SS),"$52,499.70",
Boston Police Department,Police Clerk And Typist,"$46,817.71",
Boston Police Department,School Traffic Supv,"$10,747.66",
Boston Police Department,Communic. EquipOp II 9II(SS),"$2,218.77",
Boston Police Department,Police Offc/FgrPrt Ev Tch 4$10,"$99,015.26",
Boston Police Department,Police Sergeant,"$111,541.85",
Boston Police Department,Police Lieutenant,"$122,795.27",
Boston Police Department,Police Offc Harborboat 3$8,"$89,037.11",
Boston Police Department,Police Officer,"$98,462.76",
Boston Police Department,Police Officer,"$88,494.57",
Boston Police Department,Police Sergeant,"$106,555.53",
Boston Police Department,Head Admin Clerk,"$57,961.80",
Boston Police Department,Police Offc Canine 2$6,"($3,593.07)",
Boston Police Department,Police Offc/FgrPrt Ev Tch 4$10,"$89,081.43",
Boston Police Department,Police Lieutenant,"$121,824.30",
Boston Police Department,Police Lieutenant (Det),"$124,640.68",
Boston Police Department,Police Offc Comm Serv Offc 3$8,"$88,964.17",
Boston Police Department,Police Officer Harborboat 3$8,"$28,353.13",
Boston Police Department,School Traffic Supv,"$14,341.14",
Boston Police Department,Sr Accountant,"$30,080.99",
Boston Police Department,Sr Bldg Custodian (BPD)##,"$45,304.99",
Boston Police Department,Audio Visual Tech & Photogr##,"$49,203.92",
Boston Police Department,Police Offc/FgrPrt Ev Tch 4$10,"$90,238.13",
Boston Police Department,Police Offc Mobile Offc 2$6,"$95,619.91",
Boston Police Department,"CommunEquipOp III, R-13 (CT)","$46,493.35",
Boston Police Department,Police Clerk And Typist,"$46,924.37",
Boston Police Department,Mtr Eq Rpprs ClassIBPDFleetBFD,"$82,772.87",
Boston Police Department,Prin Admin Asst,"$97,647.05",
Boston Police Department,Sr Admin Anl,"$81,308.31",
Boston Police Department,Employee Development Coor,"$81,308.34",
Boston Police Department,School Traffic Supv,"$14,341.14",
Boston Police Department,Dep Supn (Bpd),"$163,209.02",
Boston Police Department,Police Officer,"$101,680.60",
Boston Police Department,Police Detective,"$97,413.67",
