RestaurantId,RestaurantName,LicenseStatus,RestaurantType,Address,City,State,Zip
48,A K's Take Out & Delivery,Active,Eating & Drinking w/ Take Out,1427   Tremont ST,Mission Hill,MA,2120
49,711 Bistro,Inactive,Eating & Drinking,711   Boylston ST,Boston,MA,2116
50,7-ELEVEN,Inactive,Retail Food,261   Dartmouth ST,Boston,Ma,2116
51,99 CENT STOP,Inactive,Retail Food,315   Centre ST,Jamaica Plain,MA,2130
52,2Twenty2,Active,Eating & Drinking,222  Friend ST,Boston,MA,2114
53,2011 Downtown Boston Art Fridays,Inactive,Retail Food,,,,0
54,973 Commonwealth,Inactive,Eating & Drinking,971   COMMONWEALTH  AV,BOSTON,MA,2215
55,3 J's Auto Sales & Service Co.,Inactive,Retail Food,869   River ST,Hyde Park,MA,2136
56,77 Restaurant,Inactive,Eating & Drinking,1331    Dorchester AV,DORCHESTER,MA,2122
57,7 Pond Coffee Bar,Active,Eating & Drinking w/ Take Out,597   Centre ST,Jamaica Plain,MA,2130
58,73 Cafe,Active,Eating & Drinking,73   Tremont ST,Boston,MA,2108
59,99 LOBBY SHOP,Inactive,Retail Food,99   High ST,Boston,MA,2110
60,A K's Take Out & Delivery@Reggie Lewis Track,Inactive,Eating & Drinking w/ Take Out,1350   Tremont ST,Boston,Ma,2116
61,A-1 Convenience,Active,Retail Food,285 A   Main ST,Charlestown,MA,2129
62,AAA GROCERY,Inactive,Retail Food,181   Washington ST,Dorchester,MA,2121
63,Abby Lane,Active,Eating & Drinking,253   Tremont ST,Boston,MA,2116
64,ABE & LOUIE'S,Inactive,Eating & Drinking,793   Boylston ST,Boston,MA,2116
65,ABE & LOUIE'S,Active,Eating & Drinking,793   Boylston ST,Boston,MA,2116
66,88 Acres Foods,Inactive,Retail Food,100  Hanover ST,Boston,MA,2108
67,75 STATE STREET LOBBY SHOP,Inactive,Retail Food,75  State ST,Boston,MA,2109
68,ABIGAIL'S TEA ROOM @CONGRESS BRIDGE,Active,Eating & Drinking,306   Congress ST,Boston,MA,2210
69,A-C Farm Market,Inactive,Retail Food,1429   DORCHESTER AV AV,BOSTON,MA,2122
70,AC Hotel by Marriott,Active,Eating & Drinking,395  Chestnut Hill Av,Brighton,MA,2467
71,Academy Market,Active,Retail Food,1588  Columbus AVE,Roxbury,MA,2119
72,ACADEMY MARKET,Inactive,Retail Food,1588  Columbus AVE,Roxbury,MA,2119
73,Acapulco Mexican Restaurant,Active,Eating & Drinking,466   CENTRE,JAMAICA PLAIN,MA,2130
74,ACE Sushi @ Stop & Shop No. 429,Inactive,Retail Food,1100  Massachusetts AVE,Dorchester,MA,2125
75,ACES MARKET,Inactive,Eating & Drinking,50   JOHN ELIOT SQ,ROXBURY,MA,2119
76,Acougue Sabor Brasil,Inactive,Retail Food,233   London ST,East Boston,MA,2128
77,Adams B & B,Active,Eating & Drinking,12   Edgerly RD,Boston,MA,2115
78,ADAMS CONVENIENCE STORE,Inactive,Retail Food,295   Adams ST,Dorchester,MA,2122
79,ADAM'S CONVENIENT,Inactive,Retail Food,120   Blackstone ST,Boston,,0
80,A Sweet Place,Inactive,Retail Food,1514   Dorchester AVE,Dorchester,MA,2122
81,A La Fauci & Sons,Inactive,Retail Food,46   Cross ST,Boston,MA,2113
82,89C Crepe & Ice Cream,Active,Eating & Drinking w/ Take Out,75   Harvard AVE,Allston,MA,2134
83,A @ Time,Inactive,Eating & Drinking,433  Cambridge ST,Allston,MA,2134
84,75 CAFE,Inactive,Eating & Drinking,75   Kneeland ST,Boston,MA,2111
85,A & C LIQUORS,Inactive,Retail Food,7   Edgewater DR,Mattapan,MA,2126
86,A Piece of Heaven LTD,Inactive,Retail Food,571  Washington ST,Brighton,MA,2135
87,Abreu Market,Active,Retail Food,180   Hyde Park AVE,Jamaica Plain,MA,2130
88,AC Hotel by Marriot,Active,Retail Food,225  Albany ST,Roxbury,MA,2118
89,Aces High,Inactive,Eating & Drinking,551   DORCHESTER  AV,SOUTH BOSTON,MA,2127
90,Aceituna Grill,Active,Eating & Drinking,99  Seaport BLVD,Boston,MA,2210
91,Adam Market,Inactive,Retail Food,116   Blackstone ST,Boston,MA,2109
92,Adams Convenience,Inactive,Retail Food,295   Adams ST,Dorchester,MA,2122
93,AC Hotel by Marriot,Active,Eating & Drinking,225  Albany ST,Roxbury,MA,2118
94,7-ELEVEN 32459A,Inactive,Retail Food,425   BROOKLINE  AV,BOSTON,MA,2145
95,A J Wright No. 154,Inactive,Retail Food,200   BORDER ST,EAST BOSTON,MA,2128
96,A K'S TAKEOUT,Inactive,Eating & Drinking w/ Take Out,1427   Tremont ST,Mission Hill,MA,2120
97,A & C Food Market,Inactive,Retail Food,67   Woodrow AVE,Dorchester,MA,2124
98,Aceituna,Active,Eating & Drinking,100   Federal ST,Boston,MA,2110
99,Achilitos Taqueria,Active,Eating & Drinking,38  Hyde Park AVE,Jamaica Plain,MA,2130
100,Adams Corner Inc.,Inactive,Retail Food,772   ADAMS,DORCHESTER,MA,2124
101,A J Wright No. 175,Inactive,Retail Food,60   Everett ST,Brighton,MA,2134
102,99 CENT STATE  INC.,Inactive,Retail Food,770   Dudley ST,Dorchester,MA,2125
103,Across The Border,Active,Mobile Food Walk On,1   Citywide ST,Boston,MA,2128
104,A @ Time,Inactive,Eating & Drinking w/ Take Out,417   Cambridge ST,Allston,MA,2134
105,A Time To Taste,Inactive,Eating & Drinking w/ Take Out,181   Devonshire ST,Boston,MA,2110
106,A1 Mini Mart,Inactive,Retail Food,390   Dorchester ST,South Boston,MA,2127
107,Abbott's Frozen Custard,Active,Eating & Drinking w/ Take Out,362  Washington St,Brighton,MA,2135
108,Abyssinia Market,Active,Retail Food,1127   Harrison AVE,Roxbury,MA,2119
109,100 Percent Delicias Express,Active,Eating & Drinking w/ Take Out,656   Centre ST,Jamaica Plain,MA,2130
110,AA Market,Inactive,Retail Food,138  South ST,Jamaica Plain,MA,2130
111,Adams Fish Mkt,Active,Retail Food,781   Adams ST,Dorchester,MA,2124
112,Adams Market,Inactive,Retail Food,365   Adams ST,Dorchester,MA,2124
113,Addis Red Sea,Active,Eating & Drinking,540   Tremont ST,Roxbury,MA,2116
114,Adirondack I I I,Inactive,Retail Food,60   Rowes Wharf,Downtown/Financial District,MA,2110
115,Advance Auto Parts No. 8642,Inactive,Retail Food,1432    Dorchester AV,DORCHESTER,MA,2122
116,ADVENT SCHOOL,Inactive,Eating & Drinking,17   Brimmer ST,Boston,MA,2108
117,AFC Sushi @ Shaws 4587,Active,Retail Food,45   WM T MORRISSEY  BL,DORCHESTER,MA,2122
118,AFC Sushi @ Shaw's No. 586,Inactive,Eating & Drinking w/ Take Out,4   River ST,Mattapan,MA,2108
119,AFC Sushi @ Shaw's S upermarket No. 0602,Active,Retail Food,53   HUNTINGTON  AV,BOSTON,MA,2116
120,AFC SUSHI @ STARMARKET 4572,Active,Retail Food,370  Western AVE,Brighton,MA,2135
121,AFC Sushi @ Suffolk University,Inactive,Eating & Drinking,41   Temple ST,Boston,MA,2114
122,Advance Auto Parts No. 8639,Inactive,Retail Food,4185   Washington ST,Roslindale,MA,2131
123,Advance Auto Parts No. 8649,Inactive,Retail Food,373   Cambridge ST,Allston,MA,2134
124,AFC Sushi @ Walgreens No. 15390,Active,Eating & Drinking w/ Take Out,10   School ST,Boston,MA,2108
125,A Taste of Jamaica,Inactive,Eating & Drinking w/ Take Out,124   Harvard ST,Dorchester,MA,2124
126,99 MINI MARKET CORPORATION,Inactive,Retail Food,25   Edinboro ST,Boston,MA,2111
127,7-ELEVEN 32463C,Inactive,Retail Food,252   WEST NEWTON,BOSTON,MA,2116
128,Admiral Club,Inactive,Eating & Drinking,0   Logan Airport Terminal B,East Boston,Ma,2128
129,AFC SUSHI @SIMMONS COLLEGE,Active,Eating & Drinking,300   Fenway,Boston,MA,2115
130,A.J. VARIETY,Inactive,Retail Food,7   Bowdoin ST,Dorchester,MA,2124
131,ABBY'S PIZZA  CAFE & GRILLE,Inactive,Eating & Drinking w/ Take Out,1   Henshaw ST,Brighton,MA,2135
132,Advance Auto Parts No. 8636,Inactive,Retail Food,676   Morton ST,Dorchester,MA,2124
133,AFC Sushi @ Shaws Supermarket No.  565,Inactive,Retail Food,1065   COMMONWEALTH  AV,ALLSTON,MA,2134
134,A.J. Wright No.  268,Inactive,Retail Food,500    Geneva AV,DORCHESTER,MA,2122
135,AFC Sushi @ Wentworth Institute,Inactive,Eating & Drinking w/ Take Out,550   Huntington AVE,Mission Hill,MA,2115
136,AFC Sushi @Star Market No. 2576,Active,Retail Food,33   KILMARNOCK,BOSTON,MA,2215
137,AFC SUSHI BAR @ UMASS BOSTON,Inactive,Eating & Drinking,100   WM T MORRISSEY  BL,DORCHESTER,MA,2125
138,Agoro's Pizza Bar & Grill,Inactive,Eating & Drinking,356   Chestnut Hill AVE,Brighton,MA,2135
139,Aguasvivas Market,Active,Retail Food,920   Morton ST,Dorchester,MA,2124
140,Aislyn Meat Market,Inactive,Retail Food,71   Day ST,Jamaica Plain,MA,2130
141,AK's Takeout,Active,Eating & Drinking w/ Take Out,309   D ST,South Boston,MA,2127
142,AL CAPONE,Active,Eating & Drinking w/ Take Out,80   Summer ST,Boston,MA,2110
143,AL DENTE RISTORANTE,Active,Eating & Drinking,109   Salem ST,Boston,MA,2113
144,Akiki,Active,Retail Food,1171    Hyde Park AV,HYDE PARK,MA,2136
145,Accents,Active,Retail Food,10   Huntington AVE,Boston,MA,2116
146,ADAMS CONVENIENCE STORE,Active,Retail Food,114   Blackstone ST,Boston,MA,2109
147,Accents,Active,Retail Food,1   Hotel DR,East Boston,,2128
148,AFC Sushi @Liberty Mutual Ins.,Active,Eating & Drinking,157  Berkeley St,Boston,MA,2116
149,Accents,Active,Retail Food,510  Atlantic AVE,Boston,MA,2110
150,Al Mercatino,Inactive,Eating & Drinking w/ Take Out,300   FANEUIL HALL MARKET PL,BOSTON,MA,2109
151,Al Prime Energy,Active,Retail Food,497   Gallivan BLVD,Dorchester,MA,2124
152,Alberto Market,Active,Retail Food,1112   Blue Hill AVE,Dorchester,MA,2124
153,Alchemist Lounge,Inactive,Eating & Drinking,435   South Huntington AV,Boston,Ma,2130
154,Alex Market,Inactive,Retail Food,316  Talbot AVE,Dorchester,MA,2124
155,Alex Market VI,Active,Retail Food,466   Talbot AVE,Dorchester,MA,2122
156,ALEX PIZZA,Active,Eating & Drinking w/ Take Out,1252   Washington ST,Roxbury,MA,2118
157,ALEX'S CHIMIS,Active,Eating & Drinking,358   CENTRE,JAMAICA PLAIN,MA,2130
158,Adams Village Shell,Inactive,Retail Food,761   Adams ST,Dorchester,MA,2124
159,Advance Auto Parts No. 8646,Inactive,Retail Food,1190    Massachusetts AV,DORCHESTER,MA,2125
160,AFC Sushi @ Berklee Sch. of Music,Inactive,Eating & Drinking w/ Take Out,939   Boylston ST,Boston,MA,2115
161,Alexander's Wine & Spirit,Active,Retail Food,755   Gallivan BLVD,Dorchester,MA,2122
162,A @ Time,Inactive,Eating & Drinking w/ Take Out,433  Cambridge ST,Allston,MA,2134
163,Aladdin @ Bunker Hill Comm. College,Active,Eating & Drinking,250   Rutherford AVE,Boston,MA,2129
164,Alcove,Active,Eating & Drinking,131  Beverly ST,Boston,MA,2114
165,ALEX'S MARKET II,Inactive,Retail Food,1987   COLUMBUS AV,Roxbury,MA,2119
166,Alex's Market III  Inc.,Active,Retail Food,2825   Washington ST,Roxbury,MA,2119
167,ALEX'S PIZZA,Inactive,Eating & Drinking w/ Take Out,580   Dorchester AVE,South Boston,MA,2127
168,ALEX'S MARKET IV,Inactive,Retail Food,466   Talbot AVE,Dorchester,MA,2122
169,ALFREDO'S,Active,Eating & Drinking w/ Take Out,229   Brighton AVE,Allston,MA,2134
170,ALFREDO'S ITALIAN KITCHEN,Active,Eating & Drinking w/ Take Out,243   Dorchester ST,South Boston,MA,2127
171,Adams Village Auto Service,Inactive,Retail Food,761   Adams ST,Dorchester,MA,2124
172,Aer Lingus Lounge (2nd level),Inactive,Eating & Drinking,500   LOGAN AIRPORT TRMNL E,EAST BOSTON,MA,2128
173,Alfa Auto Fuel,Active,Retail Food,4139   Washington ST,Roslindale,MA,2131
174,ALGONQUIN CLUB OF BOSTON,Inactive,Eating & Drinking,217   COMMONWEALTH  AV,BOSTON,MA,2116
175,ALI ROTI RESTAURANT,Active,Eating & Drinking w/ Take Out,1035   Tremont ST,Mission Hill,MA,2120
176,Alibi,Active,Eating & Drinking,215   Charles ST,Boston,MA,2114
177,All American Water,Inactive,Retail Food,1320   Dorchester AVE,Dorchester,MA,2122
178,AGS LLC,Inactive,Retail Food,20   North ST,Boston,MA,2109
179,ACE SUSHI @ STOP & SHOP,Inactive,Retail Food,1100   MASSACHUSETTS  AV,DORCHESTER,MA,2124
180,All American Water,Active,Retail Food,3   Neponset AVE,Dorchester,MA,2122
181,All Star Pizza Bar,Active,Eating & Drinking,204   Cambridge ST,Boston,MA,2114
182,Allandale Farm,Active,Retail Food,259   Allandale ST,Jamaica Plain,MA,2130
183,ALLIS ROTI + MEAT MARKET,Active,Eating & Drinking w/ Take Out,1188   Blue Hill AVE,Mattapan,MA,2126
184,Allston Convenience Store,Active,Retail Food,163   Allston ST,Allston,MA,2135
185,Allston Diner,Active,Eating & Drinking,417   Cambridge ST,Allston,MA,2134
186,Allston Market,Active,Retail Food,169   HARVARD  AV,ALLSTON,MA,2134
187,Allston Village Pizza,Inactive,Eating & Drinking w/ Take Out,2   BRIGHTON AV,ALLSTON,MA,2134
188,Almany Market,Active,Retail Food,1053   Tremont ST,Mission Hill,MA,2119
189,Aloft Seaport Hotel -WXYZ Bar,Active,Eating & Drinking,401  D ST,Boston,MA,2210
190,Al's Bottled Liquors,Inactive,Retail Food,226 W Broadway,South Boston,MA,2127
191,Al's South St. Express,Active,Eating & Drinking w/ Take Out,179   Essex ST,Boston,MA,2111
192,AL'S STATE ST. CAFE,Active,Eating & Drinking w/ Take Out,112  State St,Boston,MA,2109
193,Allston Cafe,Inactive,Eating & Drinking,155   Brighton AVE,Allston,MA,2134
194,Air France Lounge,Active,Eating & Drinking,500   Terminal RD,East Boston,MA,2128
195,Al FreshCo,Inactive,Retail Food,31   Germania ST,Jamaica Plain,MA,2130
196,AGUADILLA MARKET,Inactive,Retail Food,664   Tremont ST,Roxbury,MA,2118
197,AAA GROCERY,Active,Retail Food,181   Washington ST,Dorchester,MA,2121
198,AFC Sushi @ Shaw's No. 539,Inactive,Eating & Drinking w/ Take Out,75   Spring ST,West Roxbury,MA,2132
199,Alumni 3,Active,Eating & Drinking w/ Take Out,2597   Beacon ST,Brighton,MA,2135
200,Al-Wadi Restaurant,Active,Eating & Drinking,1249   VFW PKWY,West Roxbury,MA,2132
201,AMC Theatres Boston Common 19,Active,Eating & Drinking w/ Take Out,175   Tremont ST,Boston,MA,2111
202,AFC Sushi @Star Market No. 3577,Active,Eating & Drinking w/ Take Out,75   Spring ST,West Roxbury,MA,2132
203,Aloft Seaport Hotel -Re Fuel Bar,Active,Eating & Drinking w/ Take Out,401  D ST,Boston,MA,2210
204,Alumni 1,Active,Eating & Drinking w/ Take Out,2597   Beacon ST,Brighton,MA,2135
205,ALL THINGS CHOCOLATE,Inactive,Retail Food,31   ST JAMES  AV,BOSTON,MA,2116
206,AFC Sushi @ Shaw's 3588,Active,Retail Food,1065   Commonwealth AVE,Allston,MA,2134
207,Al-Barah Market,Inactive,Retail Food,114   Blackstone ST,Boston,MA,2109
208,Amelia's Taqueria,Active,Eating & Drinking w/ Take Out,309   Huntington AVE,Boston,MA,2115
209,Amelia's Taqueria,Active,Eating & Drinking w/ Take Out,180   Brighton AVE,Allston,MA,2134
210,American Bakers,Inactive,Eating & Drinking w/ Take Out,39   First AVE,Charlestown,MA,2129
211,American Food Basket,Active,Retail Food,942   HYDE PARK  AV,HYDE PARK,MA,2134
212,Americano Espresso Bar,Active,Eating & Drinking w/ Take Out,155   Meridian ST,East Boston,MA,2128
213,Americas Food Basket,Active,Retail Food,920   Cummins HWY,Mattapan,MA,2126
214,Amelia's Taqueria III,Active,Eating & Drinking,1936   Beacon ST,Brighton,MA,2135
215,Americas Food Basket,Active,Retail Food,500    Geneva AV,DORCHESTER,MA,2122
216,AMERICA'S FOOD BASKET,Active,Retail Food,576   Washington ST,Dorchester,MA,2124
217,AMES PLOW TAVERN,Inactive,Eating & Drinking,200   Faneuil Hall Market PL,Boston,MA,2109
218,ALBA PRODUCE,Active,Retail Food,18   Parmenter ST,Boston,MA,2113
219,Alumni 4,Active,Eating & Drinking w/ Take Out,2597   Beacon ST,Brighton,MA,2135
220,Amateras,Active,Eating & Drinking,112  South ST,Boston,MA,2111
221,AMINA AFRICAN MARKET,Inactive,Retail Food,604   HYDE PARK  AV,ROSLINDALE,MA,2131
222,Amory Restaurant,Inactive,Eating & Drinking w/ Take Out,224   Amory ST,Jamaica Plain,MA,2130
223,Amory Restaurant,Inactive,Eating & Drinking w/ Take Out,222   Amory ST,Jamaica Plain,MA,2130
224,AMRHEIN'S,Active,Eating & Drinking,80 W BROADWAY,SOUTH BOSTON,MA,2127
225,AMSTERDAM CAFE,Active,Eating & Drinking w/ Take Out,483 E Broadway,South Boston,MA,2127
226,AMSTERDAM CAFE,Inactive,Eating & Drinking w/ Take Out,483 E Broadway,South Boston,MA,2127
227,AMSTERDAM CAFE,Inactive,Eating & Drinking w/ Take Out,517   COLUMBUS  AV,BOSTON,MA,2118
228,Amsterdam Falafel,Inactive,Eating & Drinking w/ Take Out,642  Beacon ST,Boston,MA,2215
229,Amy's Wrap N'Roll,Inactive,Eating & Drinking w/ Take Out,400   Brookline AVE,Boston,MA,2115
230,AN TAIN,Active,Eating & Drinking,31   India ST,Boston,MA,2110
231,Albany Sandwich Shop,Inactive,Eating & Drinking,471   Albany ST,Roxbury,MA,2118
232,AMIGOS LOCOS,Active,Mobile Food Walk On,1   Citywide ST,Boston,MA,2128
233,ANCHOVIES RESTAURANT,Active,Eating & Drinking,433   COLUMBUS  AV,BOSTON,MA,2116
234,ANDALE! MEXICAN GRILL,Inactive,Eating & Drinking w/ Take Out,125  Summer ST,Boston,MA,2111
235,ANDALUS PIZZA & CAFE,Inactive,Eating & Drinking w/ Take Out,153   SUTHERLAND RD,BRIGHTON,MA,2135
236,Andalus Pizza & Cafe,Active,Eating & Drinking w/ Take Out,153   SUTHERLAND RD,BRIGHTON,MA,2135
237,Andrea Mini Market,Inactive,Retail Food,2   Fairmount AVE,Hyde Park,MA,2136
238,Andre's Cafe,Active,Eating & Drinking w/ Take Out,809   Harrison AVE,Roxbury,MA,2118
239,Andre's Cafe,Inactive,Eating & Drinking w/ Take Out,811   Harrison AVE,Roxbury,MA,2118
240,ANDRE'S CAFE,Inactive,Eating & Drinking w/ Take Out,811   Harrison AVE,Roxbury,MA,2118
241,ANDREW SQUARE HOUSE OF PIZZA,Inactive,Eating & Drinking w/ Take Out,395  Dorchester ST,South Boston,MA,2127
242,Andrew Square Market,Inactive,Retail Food,605   Dorchester AVE,South Boston,MA,2127
243,Amorino,Active,Eating & Drinking w/ Take Out,249   Newbury ST,Boston,MA,2116
244,Angela's Cafe,Active,Eating & Drinking w/ Take Out,131   Lexington ST,East Boston,MA,2128
245,A7 Food Store,Active,Retail Food,556   River ST,Boston,MA,2126
246,A.W.I.P. Variety,Inactive,Retail Food,530   River ST,Mattapan,MA,2126
247,Angela's Cafe II,Active,Eating & Drinking w/ Take Out,1012   Bennington ST,East Boston,MA,2128
248,Angel's Market,Active,Retail Food,501   Washington ST,Dorchester,MA,2124
249,Angel's Market Inc.,Inactive,Retail Food,8   GLENWAY,DORCHESTER,MA,2121
250,Angie's Market,Inactive,Retail Food,179   Washington ST,Dorchester,MA,2121
251,Anh Hong Restaurant,Active,Eating & Drinking,291   Adams ST,Boston,MA,2122
252,ANH HONG RESTAURANT  LLC,Inactive,Eating & Drinking,291   Adams ST,Dorchester,MA,2122
253,ANI Company @ Stop & Shop,Inactive,Retail Food,1100   MASSACHUSETTS  AV,DORCHESTER,MA,2124
254,Anna Hand Cut Donuts,Active,Eating & Drinking,2056   Centre ST,West Roxbury,MA,2132
255,Alex's Liquor Inc.,Inactive,Retail Food,569   American Legion HWY,Roslindale,MA,2131
256,Anna's Taqueria,Active,Eating & Drinking w/ Take Out,800   Boylston ST,Boston,MA,2199
257,Anna's Taqueria,Active,Eating & Drinking,242   Cambridge ST,Boston,MA,2114
258,Anoush Ella,Active,Eating & Drinking,35 W Newton ST,Boston,MA,2118
259,Anshur Restauruant,Active,Eating & Drinking w/ Take Out,291   Roxbury ST,Roxbury,MA,2119
260,Annabelle's Restaurant,Inactive,Eating & Drinking,1300  Hyde Park AVE,Hyde Park,MA,2136
261,ANGIE'S PIZZA,Inactive,Eating & Drinking w/ Take Out,27  Harbor Point BLVD,Dorchester,MA,2125
262,Alex's Ugly Sauce,Active,Retail Food,100  Hanover ST,Boston,MA,2108
263,Ann's Heavenly Cuisine@Met. Baptist Church,Inactive,Eating & Drinking w/ Take Out,393   Norfolk ST,Dorchester,MA,2124
264,Anthem,Active,Eating & Drinking,100-199   Faneuil Hall Market PL,Boston,MA,2109
265,AGORA,Inactive,Retail Food,20   Tremont ST,Brighton,MA,2135
266,AJ Wright No. 297,Inactive,Retail Food,300   Martin Luther King Jr BLVD,Roxbury,MA,2119
267,ANTHONY'S CAFE,Active,Eating & Drinking w/ Take Out,252   Commercial ST,Boston,MA,2109
268,Anthony's Pier 4,Inactive,Eating & Drinking,140   NORTHERN  AV,BOSTON,MA,2210
269,ANTICO FORNO,Active,Eating & Drinking,93   Salem ST,Boston,MA,2113
270,Antoinette Variety Store,Active,Retail Food,1600   Blue Hill AVE,Mattapan,MA,2126
271,Antojitos & Panaderia Chapina,Inactive,Eating & Drinking w/ Take Out,299   Hancock ST,Dorchester,MA,2125
272,Antojitos Panaderia Mi Guatemala INC.,Inactive,Eating & Drinking,299   Hancock ST,Dorchester,MA,2125
273,Antonio's Hi-Fi,Active,Eating & Drinking w/ Take Out,1508   Dorchester AVE,Dorchester,MA,2122
274,ANTONIO'S ITALIANO CUCINA,Active,Eating & Drinking,286   Cambridge ST,Boston,MA,2114
275,APPLEBEE'S NEIGHBORHOOD GRILL,Inactive,Eating & Drinking,379   CHESTNUT HILL AV,Brighton,MA,2135
276,APPLEBEE'S NEIGHBORHOOD GRILL,Inactive,Eating & Drinking,381   CHESTNUT HILL  AV,BRIGHTON,MA,2135
277,APPLEBEE'S NEIGHBORHOOD GRILL & BAR,Inactive,Eating & Drinking,11   Allstate RD,Dorchester,Ma,2125
278,APPLEBEE'S NEIGHBORHOOD GRILL & BAR,Active,Eating & Drinking,11A  Allstate RD,Dorchester,MA,2125
279,Appleton Bakery & Cafe,Inactive,Eating & Drinking w/ Take Out,75   Dartmouth ST,Boston,MA,2116
280,Appleton Bakery Cafe,Inactive,Eating & Drinking w/ Take Out,123   Appleton ST,Boston,MA,2116
281,Appleton Cafe,Active,Eating & Drinking,123   Appleton ST,Boston,MA,2116
282,Appleton Cafe & Bakery,Inactive,Eating & Drinking w/ Take Out,75   DARTMOUTH ST ST,BOSTON,MA,2116
283,Aqua Pazza,Active,Eating & Drinking,135  Richmond ST,Boston,MA,2113
