DepartmentName,JobTitle,Zip,Salary
Public Works Department,Motor Equip Oper & Pw Lbr,2111,"$36,953.72"
Quincy Upper School,Community Field Coordinator,2111,"$43,543.73"
Boston Public Library,Library Aide,2111,"$2,442.00"
BPS Quincy Elementary,Lead Satellite Attendant A,2111,"$19,026.13"
Gardner Pilot  Academy,Teacher,2111,"$68,826.06"
Asst Superintendent-Network A,Manager (D) (non-ac),2111,"$54,158.36"
Boston Police Department,Criminalist II,2111,"$67,979.71"
ASD Human Resources,Student Intern,2111,"$2,352.00"
King K-8,Teacher,2111,"$70,927.85"
Boston Retirement System,Student Intern,2111,"$3,293.82"
Neighborhood Development,Sr Program Manager,2111,"$51,408.72"
"UP ""Unlocking Potential"" Acad",Teacher,2111,"$38,657.03"
Boston City Council,Admin Asst (Cc),2111,"$9,737.92"
Youth Engagement & Employment,Youth Outreach Coord,2111,"$22,948.52"
Superintendent,Manager (C) (non-ac),2111,"$27,097.78"
BPS Facility Management,Jr Cust/Nights,2112,"$44,759.59"
Boston Police Department,Police Offc Comm Serv Offc 3$8,2113,"$100,680.29"
Edison K-8,Teacher,2113,"$98,233.12"
BPS Special Education,Teacher,2113,"$102,724.14"
Office of Economic Development,Neigh Business Manager,2113,"$47,440.40"
Dpt of Innovation & Technology,Sr Data Proc Sys Anl,2113,"$97,647.07"
Office of Economic Development,Program Asst,2113,"$64,561.42"
Property Management,Security Supv (Prot Serv),2113,"$55,710.62"
Office of Tourism,Staff Asst,2113,"$103,293.60"
Parks Department,Park Keeper,2113,"$38,139.44"
Boston Fire Department,Fire Lieutenant-AdvanceTech,2113,"$127,728.14"
Boston Public Library,Curator-Manuscripts,2113,"$77,934.80"
BPS East Boston High,Teacher,2113,$220.74
BPS Facility Management,Sen Cust C,2113,"$57,742.81"
Office of Economic Development,Operations Specialist,2113,"$53,730.80"
Boston City Council,Secretary,2113,"$63,658.23"
BPS Snowden International Hi,Teacher,2113,"$103,189.31"
Boston Police Department,Police Offc Mobile Offc 2$6,2113,"$88,977.74"
BPS Horace Mann,Program Director (Basas 9A),2113,"$116,021.12"
Boston Cntr - Youth & Families,Program Assistant I,2113,"$41,308.74"
Dpt of Innovation & Technology,Sr Data Proc Sys Anl (ASD/DPU),2113,"$113,140.60"
Boston Fire Department,FireLieutenant(ScubaDivTech,2113,"$124,297.65"
Boston Fire Department,Fire Fighter-Technician,2113,"$107,831.06"
BPS Business Service,BPS Worker's Comp Job Class,2113,
Boston Police Department,School Traffic Supv,2113,"$12,680.07"
WREC: Urban Science Academy,Cluster Substitute,2113,"$31,529.83"
Office of Economic Development,Dir of Operations,2113,"$90,656.73"
BPS Human Resource Team,Coordinator (C),2113,"$88,249.82"
Warren/Prescott K-8,Teacher,2113,"$102,753.13"
Boston Fire Department,Fire Fighter,2113,"$104,422.62"
Umana Middle,Teacher,2113,"$89,358.15"
Boston Police Department,Police Officer,2113,"$84,709.10"
Public Works Department,Sr Civil Engineer,2113,"$71,592.00"
Assessing Department,Dir-Assessing Services,2113,"$62,991.33"
Parks Department,Summer Youth Worker,2113,"$12,175.50"
Transportation-Parking Clerk,Hearings Employee,2113,"$4,041.75"
Traffic Division,Parking Meter Supervisor,2113,"$47,636.15"
BPS Harvard/Kent Elementary,Teacher,2113,"$72,388.77"
Public Works Department,Hvy Mtr Equip Oper & P W Lbr,2113,"$40,088.27"
Public Works Department,Motor Equip Oper & Pw Lbr,2113,"$32,947.04"
Boston Cntr - Youth & Families,Lifeguard I,2113,"$4,691.78"
Tech Boston Academy,Teacher,2113,"$64,680.88"
Eliot K-8,Teacher,2113,"$76,389.83"
Henderson Elementary,Teacher,2113,"$62,764.35"
Dpt of Innovation & Technology,Data Proc Sys Analyst,2113,"$2,688.85"
Environment Department,Dir CCE,2113,"$75,468.90"
Dpt of Innovation & Technology,Data Librarian,2113,"$26,492.97"
Parks Department,Laborer (Park),2113,"$13,288.60"
Public Works Department,Laborer Seasonal  (PW),2113,"$7,875.57"
Law Department,Asst Corp Counsel II,2113,"$67,161.70"
ASD Human Resources,Student Intern,2113,"$4,140.00"
BPS Edwards Middle,Admin Asst (B),2113,"$58,028.87"
UP Academy Dorchester,Teacher,2113,"$72,670.49"
BPS Quincy Elementary,Teacher,2113,"$23,546.29"
UP Academy Holland,Teacher,2113,"$70,730.65"
ASD Office of Budget Mangmnt,Management Analyst (Obpe),2113,"$62,616.76"
Boston Police Department,BPD Homicide Intelligence Anl,2113,"$48,310.38"
Dpt of Innovation & Technology,Prin Data Proc Systems Analyst,2113,"$63,036.94"
Tobin K-8,Teacher,2113,"$19,079.13"
Treasury-Treasury Division,Sr Admin Asst,2113,"$26,010.67"
Office of Streets,Prin Admin Asst,2113,"$31,260.08"
BPS Substitute Teachers/Nurs,Substitute Teacher HE,2113,"$12,762.25"
BPS Substitute Teachers/Nurs,Substitute Teacher,2113,"$3,602.36"
Boston Police Department,Office Manager,2132,"$56,921.80"
Boston Police Department,Police Offc/Hosp Liaison 4$10,2131,"$12,756.79"
Boston Police Department,PoliceSergeant/SupvCourtCases,2134,"$107,599.31"
Boston Police Department,Police Officer,2119,
Boston Police Department,ChCommEquipOper I (SCTT),2131,"$58,005.80"
Boston Police Department,Police Detective,2126,"$97,413.67"
Boston Police Department,Jr  Building Custodian,2132,"$44,002.60"
Boston Police Department,Police Officer Hdq Dispatch,2135,"$103,890.60"
Boston Police Department,Police Detective,2127,"$23,183.91"
Boston Police Department,Police Officer,2127,"$101,680.60"
Boston Police Department,Police Sergeant (Det),2124,"$116,108.98"
Boston Police Department,Commissioner (Bpd),2127,"$229,999.90"
Boston Police Department,ChCommEquipOper I (SCTT),2122,"$53,145.86"
Boston Police Department,Buyer,2124,"$64,007.38"
Boston Police Department,Exec Asst (BPD),2122,"$119,025.10"
Boston Police Department,Police Dispatcher,2131,"$70,743.19"
Boston Police Department,Police Clerk And Typist,2125,"$46,817.70"
Boston Police Department,Police Offc Comm Serv Offc 3$8,2127,"$102,122.60"
Boston Police Department,Police Captain/DDC,2132,"$146,893.76"
Boston Police Department,Police Sergeant,2124,"$110,788.99"
Boston Police Department,Police Officer,2132,"$101,680.60"
Boston Police Department,Police Sergeant (Det),2130,"$113,179.69"
Boston Police Department,Police Officer,2124,"$100,210.65"
Boston Police Department,Police Detective,2118,"$97,413.67"
Boston Police Department,Police Detective,2135,"$103,987.91"
Boston Police Department,Police Sergeant/Comm Serv Offc,2131,"$106,320.16"
Boston Police Department,Police Sergeant (Det),2127,"$113,179.69"
Boston Police Department,Police Officer,2130,"$91,540.18"
Boston Police Department,Police Officer,2121,"$12,711.79"
Boston Police Department,PoliceSergeant/SupvCourtCases,2128,($389.49)
Boston Police Department,Police Sergeant (Det),2121,"$67,774.01"
Boston Police Department,Police Sergeant (Det),2119,"$100,347.58"
Boston Police Department,Public Relations Rep(Bpd),2118,"$46,817.70"
Boston Police Department,Police Officer,2136,"$93,180.42"
Boston Police Department,Police Lieutenant,2124,"$136,221.15"
Workers Compensation Service,Workers Comp Job Classificatn,2122,
Boston Police Department,Police Officer,2135,"$101,680.60"
Boston Police Department,Police Detective,2134,"$97,413.67"
Boston Police Department,Supn Bpd,2130,"$164,568.20"
Boston Police Department,Police Officer,2126,"$101,680.60"
Boston Police Department,Police Lieutenant/Hdq Dispatch,2132,"$131,665.65"
Boston Police Department,Police Sergeant,2125,"$112,310.38"
Boston Police Department,Police Offc Hackney Invest 3$8,2129,"$93,622.42"
Boston Police Department,Police Lieutenant/Hdq Dispatch,2135,"$125,715.33"
Boston Police Department,Police Clerk And Typist,2128,"$46,817.70"
Boston Police Department,Police Officer Harborboat 3$8,2124,"$93,622.42"
Boston Police Department,Police Sergeant,2132,"$112,757.88"
Boston Police Department,Supn Bpd,2121,"$181,982.71"
Boston Police Department,Prin Admin Asst,2132,"$97,647.06"
Boston Police Department,Police Offc Comm Serv Offc 3$8,2121,"$102,122.60"
Boston Police Department,Police Lieutenant,2132,"$127,720.84"
Boston Police Department,Police Lieutenant (Det),2132,"$129,530.83"
Boston Police Department,Police Detective,2132,"$97,413.67"
Boston Police Department,Police Lieutenant,2122,"$127,720.84"
Boston Police Department,Police Detective,2122,"$72,487.60"
Boston Police Department,Police Offc Harborboat 3$8,2122,
Boston Police Department,Sr Radio Communications Tech,2143,"$84,173.98"
Boston Police Department,Head Clerk,2130,"$51,663.71"
Boston Police Department,Admin Secretary,2131,"$56,921.80"
Boston Police Department,School Traffic Supv,2130,"$14,341.14"
Boston Police Department,Police Clerk And Typist,2131,"$46,817.70"
Boston Police Department,Sr Data Proc Sys Anl (ASD/DPU),2135,"$113,451.93"
Boston Police Department,Police Dispatcher,2126,"$77,022.09"
Boston Police Department,Supn Bpd,2124,"$181,982.71"
Boston Police Department,Communic. EquipOp II 9II(SS),2124,"$52,513.68"
Boston Police Department,Police Lieutenant,2135,"$23,733.04"
Boston Police Department,Police Sergeant (Det),2136,"$4,728.42"
Boston Police Department,IBIS Support Technician,2132,"$81,308.33"
Boston Police Department,Police Sergeant,2127,
Boston Police Department,Police Sergeant,2126,
Boston Police Department,Police Offc/Juvenile Offc 4$10,2119,"$37,015.37"
Boston Police Department,Police Officer,2131,"$100,210.65"
Boston Police Department,Police Officer Hdq Dispatch,2125,"$99,571.57"
Boston Police Department,Police Sergeant (Det),2135,"$124,158.09"
Boston Police Department,Police Detective,2124,
Boston Police Department,Police Officer,2128,"$98,638.34"
Boston Police Department,Police Offc Acad Instr 2$6,2119,
Boston Police Department,Police Detective,2121,"$10,279.84"
Boston Police Department,Police Detective,2125,"$67,481.95"
Boston Police Department,Police Sergeant,2136,"$109,419.73"
Boston Police Department,Police Offc Mobile Offc 2$6,2136,"$102,012.10"
Boston Police Department,Police Sergeant (Det),2123,"$80,629.46"
Boston Police Department,Police Offc Ballistician 4$10,2126,"$99,684.05"
Boston Police Department,Police Lieutenant,2131,"$127,071.05"
Boston Police Department,Police Sergeant/Comm Serv Offc,2136,"$30,054.85"
Boston Police Department,Police Offc Acad Instr 2$6,2136,"$102,012.10"
Boston Police Department,Police Offc/FgrPrt Ev Tch 4$10,2136,"$91,766.10"
Boston Police Department,Police Offc Hackney Invest 3$8,2122,
Boston Police Department,Police Officer,2125,"$24,066.92"
Boston Police Department,Police Sergeant,2122,"$107,862.10"
Boston Police Department,Police Officer Hdq Dispatch,2136,"$103,423.88"
Boston Police Department,Police Detective,2120,"$103,520.64"
Boston Police Department,Police Sergeant (Det),2132,"$112,667.56"
Boston Police Department,Supv-Payrolls,2127,"$104,878.20"
Boston Police Department,Buyer,2129,"$64,007.46"
Boston Police Department,Communic. EquipOp II 9II(SS),2131,"$51,551.70"
Boston Police Department,ChCommEquipOper I (SCTT),2125,"$57,823.00"
Boston Police Department,Prin Admin Asst (Bpd/Adm.),2121,"$89,342.76"
Boston Police Department,Exec Asst (BPD),2132,"$124,771.15"
Boston Police Department,Prin Personnnel Officer,2124,"$40,862.79"
Boston Police Department,Police Offc Comm Serv Offc 3$8,2136,"$94,704.21"
Boston Police Department,Jr  Building Custodian,2122,
Boston Police Department,Police Clerk And Typist,2136,"$1,840.68"
Boston Police Department,Police Officer,2139,"$101,680.60"
Boston Police Department,Police Sergeant (Det),2122,"$48,651.89"
Boston Police Department,Police Detective,2136,"$105,913.95"
Boston Police Department,Police Sergeant (Det),2131,"$109,975.43"
Boston Police Department,Police Offc/Auto Invest 4$10,2127,"$91,766.10"
Boston Police Department,Police Officer,2122,"$91,849.36"
Boston Police Department,Police Officer Hdq Dispatch,2124,"$103,890.60"
Boston Police Department,Communic. EquipOp II 9II(SS),2130,"$52,800.77"
Boston Police Department,Police Clerk And Typist,2121,"$47,357.89"
Boston Police Department,PoliceSergeant/SupvCourtCases,2136,"$107,599.31"
Boston Police Department,Police Offc Comm Serv Offc 3$8,2119,"$100,515.58"
Boston Police Department,Police Detective,2131,"$94,956.25"
Boston Police Department,Police Offc Hackney Invest 3$8,2130,"$100,680.29"
Boston Police Department,Police Sergeant,2135,"$107,012.10"
Boston Police Department,Police Offc Comm Serv Offc 3$8,2122,"$102,122.60"
Boston Police Department,Police Offc Acad Instr 2$6,2124,"$55,003.10"
Boston Police Department,Police Offc Ballistician 4$10,2136,"$91,944.46"
Boston Police Department,Police Offc Acad Instr 2$6,2132,"$91,531.27"
Boston Police Department,Police Officer Hdq Dispatch,2127,"$57,683.74"
Boston Police Department,Police Offc/Juvenile Offc 4$10,2126,"$91,766.10"
Boston Police Department,"CommunEquipOp III, R-13 (CT)",2132,"$53,747.62"
Boston Police Department,Police Dispatcher,2124,"$76,946.52"
Boston Police Department,Sr Radio Communications Tech,2129,"$29,784.66"
Boston Police Department,Exec Sec (B.P.D.),2132,"$64,007.39"
Boston Police Department,"CommunEquipOp III, R-13 (CT)",2124,"$53,699.34"
Boston Police Department,Research Assist (Bpd),2130,"$56,921.80"
Boston Police Department,Supv Mtr Equip Rpprs (BPD),2132,"$89,692.82"
Boston Police Department,PoliceSergeant/SupvCourtCases,2127,"$77,198.39"
Boston Police Department,Exec Sec (B.P.D.),2120,"$64,007.34"
Boston Police Department,Sr Bldg Custodian (BPD)##,2121,"$45,659.14"
Boston Police Department,Prin Admin Asst,2136,"$96,765.61"
Boston Police Department,Dep Supn (Bpd),2127,"$158,907.86"
Boston Police Department,Sr Bldg Custodian (BPD)##,2128,"$45,744.96"
Boston Police Department,Head Clerk & Secretary,2128,"$52,641.35"
Boston Police Department,Police Sergeant/Mobile Oper,2124,"$104,876.64"
BPS School Safety Service,Sen Supervisor Safety,2121,"$107,789.61"
Boston Police Department,Police Officer Hdq Dispatch,2121,"$102,558.79"
Boston Police Department,Dir-Crimalistic Services(Bpd),2118,"$124,771.14"
Boston Police Department,Social Worker (BPD),2124,"$69,215.50"
Boston Police Department,Police Detective,2137,"$93,677.05"
Boston Police Department,Police Captain (Det),2125,"$137,104.32"
Boston Police Department,Dep Supn (Bpd),2118,"$163,209.02"
Boston Police Department,"CommunEquipOp III, R-13 (CT)",2136,"$53,873.36"
Boston Police Department,Head Trainer,2124,"$84,174.00"
Boston Police Department,Police Clerk And Typist,2124,"$46,817.69"
Boston Police Department,Police Sergeant/AcadInstructor,2131,"$106,569.45"
Boston Police Department,Police Offc/Juvenile Offc 4$10,2136,"$99,225.35"
Boston Police Department,Police Detective,2119,"$100,786.00"
Boston Police Department,School Traffic Supv,2122,"$11,628.06"
Boston Police Department,Community Services Offc,2119,"$74,611.99"
Boston Police Department,Police Officer,2134,"$91,573.37"
Boston Police Department,Police Offc/FgrPrt Ev Tch 4$10,2124,"$65,267.73"
Boston Police Department,Police Offc Comm Serv Offc 3$8,2126,"$90,992.47"
Boston Police Department,Police Offc Hackney Invest 3$8,2124,"$92,015.37"
Boston Police Department,Police Officer,2141,"$81,280.71"
Boston Police Department,Police Offc Canine 2$6,2124,"$90,559.87"
Boston Police Department,Communic. EquipOp II 9II(SS),2128,"$52,499.70"
Boston Police Department,Police Clerk And Typist,2129,"$46,817.71"
Boston Police Department,School Traffic Supv,2132,"$10,747.66"
Boston Police Department,Police Offc Comm Serv Offc 3$8,2134,"$88,964.17"
Boston Police Department,Police Officer Harborboat 3$8,2132,"$28,353.13"
Boston Police Department,School Traffic Supv,2128,"$14,341.14"
Boston Police Department,Audio Visual Tech & Photogr##,2119,"$49,203.92"
Boston Police Department,Police Offc Mobile Offc 2$6,2118,"$95,619.91"
Boston Police Department,"CommunEquipOp III, R-13 (CT)",2119,"$46,493.35"
Boston Police Department,Police Clerk And Typist,2132,"$46,924.37"
Boston Police Department,Mtr Eq Rpprs ClassIBPDFleetBFD,2134,"$82,772.87"
Boston Police Department,Prin Admin Asst,2127,"$97,647.05"
Boston Police Department,Sr Admin Anl,2122,"$81,308.31"
Boston Police Department,School Traffic Supv,2127,"$14,341.14"
Boston Police Department,Dep Supn (Bpd),2124,"$163,209.02"
Boston Police Department,Police Lieutenant (Det),2115,"$125,643.44"
Boston Police Department,Police Offc Canine 2$6,2132,"$93,511.92"
Boston Police Department,Signalperson-Electrician,2122,"$91,028.60"
Boston Police Department,Admin  Secretary (BPD),2124,"$74,850.56"
BPS Special Education,Sen Clerk School Sec 766-15B,2127,
Boston Police Department,Police Sergeant,2129,"$105,054.00"
Boston Police Department,Sergeant/Harbor Patrol,2127,"$107,599.31"
Boston Police Department,Police Officer,2120,"$1,794.08"
Boston Police Department,Police Sergeant,2131,"$113,546.50"
Boston Police Department,Police Offc Canine Offc 2$6,2124,"$91,531.27"
Boston Police Department,Police Offc Harborboat 3$8,2136,"$91,648.97"
Boston Police Department,Management Analyst (Bpd)(Asse),2127,"$74,611.90"
Boston Police Department,Police Sergeant/CHF RADIO DISP,2132,"$105,690.52"
Dpt of Innovation & Technology,Sr Data Proc Sys Anl,2130,"$97,647.05"
Boston Police Department,Collection Agent I,2128,"$74,850.75"
Boston Police Department,School Traffic Supv,2119,"$14,064.32"
Boston Police Department,Police Sergeant/Bomb Squad,2136,"$109,360.16"
Boston Police Department,Police Offc Ballistician 4$10,2124,"$13,162.90"
BPS Substitute Teachers/Nurs,Sub Teacher - Retiree,2131,"$4,585.85"
BPS Substitute Teachers/Nurs,Sub Teacher - Retiree,2114,"$13,958.08"
Boston Police Department,Police Offc Comm Serv Offc 3$8,2132,"$90,076.53"
Boston Police Department,Sr Radio Communications Tech,2136,"$84,173.98"
BPS Ohrenberger Elementary,Cafeteria Manager14,2135,"$44,494.10"
Boston Police Department,Mtr Eq Rpprs ClassIBPDFleetBFD,2136,"$82,772.88"
Boston Police Department,Mtr Eq Rpprs ClassIBPDFleetBFD,2132,"$83,052.94"
Boston Police Department,Sr Admin Anl,2124,"$51,519.49"
Boston Police Department,Mtr Eq Rpprs ClassIBPDFleetBFD,2135,"$83,032.88"
Boston Police Department,Police Sergeant,2119,"$110,359.87"
Boston Police Department,Community Services Offc,2136,"$74,612.03"
Boston Police Department,Research Analyst,2131,"$48,683.96"
Boston Police Department,Community Services Offc,2122,"$74,612.02"
Boston Police Department,"CommunEquipOp III, R-13 (CT)",2118,"$53,961.42"
Boston Police Department,Signalperson-Electrician,2128,"$91,028.58"
Boston Police Department,Police Offc Harborboat 3$8,2132,"$100,489.46"
Boston Police Department,"CommunEquipOp III, R-13 (CT)",2122,"$46,490.23"
Boston Police Department,Community Services Offc,2129,"$74,588.30"
Boston Police Department,Police Clerk And Typist,2135,"$46,950.71"
Boston Police Department,Police Offc Canine Offc 2$6,2136,"$88,846.65"
Boston Police Department,Police Captain,2131,"$137,487.29"
Boston Police Department,"CommunEquipOp III, R-13 (CT)",2126,"$53,909.26"
Boston Police Department,Prin Admin Asst,2135,"$113,451.81"
Boston Police Department,School Traffic Supv,2126,"$14,341.14"
Boston Police Department,Sergeant/Harbor Patrol,2124,"$106,379.51"
Boston Police Department,Police Offc/Auto Invest 4$10,2124,"$99,225.35"
Boston Police Department,Police Offc Mobile Offc 2$6,2131,"$99,973.70"
Boston Fire Department,Fire Fighter,2122,"$106,847.86"
Boston Police Department,Police Officer,2129,"$91,905.82"
Boston Police Department,Police Sergeant/FgrPrt Ev Tech,2132,"$103,929.15"
Boston Police Department,Exec Sec (B.P.D.),2136,"$76,202.10"
Boston Police Department,Police Lieutenant,2136,"$119,697.50"
Boston Police Department,Management Analyst (Bpd)(Asse),2129,"$58,065.93"
Boston Police Department,Management Analyst (Bpd)(Asse),2124,"$74,612.13"
Boston Police Department,Police Dispatcher,2127,"$76,032.65"
Boston Police Department,Police Dispatcher,2122,"$76,210.60"
Boston Police Department,Police Sergeant/CHF RADIO DISP,2131,"$112,627.01"
Boston Police Department,Police Offc Mobile Offc 2$6,2125,"$98,990.54"
Boston Fire Department,Fire Fighter,2136,"$77,307.52"
Boston Police Department,Police Detective,2130,"$91,754.44"
Boston Police Department,Police Detective,2114,"$91,754.44"
Boston Police Department,Police Offc Acad Instr 2$6,2131,"$98,990.54"
Boston Police Department,Police Offc Canine Offc 2$6,2131,"$100,405.08"
Boston Police Department,Police Dispatcher,2128,"$78,004.59"
Boston Police Department,Dir-Signal Service (Bpd),2132,"$113,451.78"
Boston Police Department,School Traffic Supv,2131,$54.82
Boston Police Department,Head Clerk & Secretary,2126,"$52,641.31"
Boston Police Department,Social Worker (BPD),2126,"$69,215.41"
Boston Police Department,Jr  Building Custodian,2129,"$43,712.56"
Roosevelt K-8,Paraprofessional,2136,"$36,464.28"
Boston Police Department,School Traffic Supv,2124,"$14,341.15"
Boston Police Department,"CommunEquipOp III, R-13 (CT)",2129,"$13,903.07"
Boston Police Department,Head Clerk & Secretary,2129,"$42,768.83"
Boston Police Department,Police Offc Acad Instr 2$6,2122,"$95,619.91"
Boston Police Department,Building Maint Supv,2136,"$82,372.86"
Boston Police Department,Prin Dp Sys Anal-Dp,2136,"$120,412.36"
Boston Police Department,Police Offc Mobile Offc 2$6,2114,"$91,237.87"
Boston Police Department,Police Lieutenant,2129,"$120,889.80"
Environment Department,Spec Asst II,2124,"$82,952.53"
Boston Police Department,Dep Supn (Bpd),2122,"$163,516.88"
Workers Compensation Service,Workers Comp Job Classificatn,2127,
Boston Police Department,Research Analyst,2129,"$48,684.05"
Boston Police Department,Dep Supn (Bpd),2126,"$155,725.99"
Boston Police Department,Police Lieut/Acad Instr,2132,"$120,284.19"
Boston Police Department,Police Detective,2128,"$93,793.59"
Boston Police Department,Police Offc/Auto Invest 4$10,2126,"$90,193.93"
Boston Police Department,Police Offc Harborboat 3$8,2126,"$100,489.46"
Boston Police Department,Police Offc/FgrPrt Ev Tch 4$10,2131,"$100,626.08"
Boston Police Department,Dep Supn (Bpd),2131,"$159,104.26"
Boston Police Department,School Traffic Supv,2129,"$14,341.15"
Boston Police Department,School Traffic Supv,2125,"$12,015.65"
Mattapan Early Elementary,Surround Care Paraprofessional,2122,"$7,487.65"
BPS Facility Management,Part-Time Custodian,2127,"$12,104.76"
Boston Police Department,School Traffic Supv,2136,"$11,683.43"
Boston Police Department,Data Proc Equip Tech (BPD),2127,"$74,850.58"
Boston Police Department,Mtr Eq Rpprs ClassIBPDFleetBFD,2126,"$84,072.90"
Boston Police Department,Police Offc Mobile Offc 2$6,2122,"$95,687.85"
Boston Police Department,Police Offc Harborboat 3$8,2127,"$88,862.07"
Boston Police Department,Communic. EquipOp II 9II(SS),2127,"$51,731.75"
Boston Police Department,Sr Employee Development Asst,2127,"$97,647.09"
Traffic Division,Head Admin Clerk,2122,"$44,661.12"
Workers Compensation Service,Workers Comp Job Classificatn,2129,
Boston Police Department,Collection Agent(Bpd),2132,"$66,092.14"
BPS Business Service,BPS Worker's Comp Job Class,2124,
Boston Police Department,Police Sergeant (Det),2126,"$108,289.41"
BPS Substitute Teachers/Nurs,Sub Teacher - Retiree,2116,"$16,879.99"
BPS Transportation,Cab Monitor,2131,"$21,547.81"
Boston Police Department,Jr  Building Custodian,2131,"$43,992.56"
Boston Police Department,Jr  Building Custodian,2127,"$43,562.56"
Boston Police Department,Sr Bldg Custodian (BPD)##,2119,"$45,304.98"
Boston Police Department,Jr  Building Custodian,2124,"$43,972.55"
Boston Police Department,Police Sergeant/FgrPrt Ev Tech,2115,"$103,323.95"
Boston Police Department,Police Sergeant/Comm Serv Offc,2132,"$83,045.10"
Info & Instr Technology,Specialist (BTU),2135,"$112,373.63"
BPS McCormack Middle,Prin Clerk/School Sec 19,2127,"$54,098.46"
BPS Ohrenberger Elementary,Jr Specialist (BTU),2124,"$98,033.12"
BPS Facility Management,Sen Cust C,2121,"$62,255.97"
Mattapan Early Elementary,Surround Care Paraprofessional,2131,"$35,163.86"
