PrivateSchoolId,PrivateSchoolName,Address,NeighborhoodName,Zip,Phone,Fax,SchoolType
63,Boston Collegiate Charter School (Lower School),215 Sydney Street,Dorchester,2125, , , 
66,Edward Brooke Charter School - Mattapan,150 American Legion Highway,Dorchester,2124, , , 
67,Roxbury Prep - Dorchester,206 Magnolia St.,Dorchester,2121,617-858-2300,617-275-5760,"6,7,8"
71,Conservatory Lab Charter School - Dorchester,2120 Dorchester Avenue,Dorchester,2124,617-254-8904,617-254-8909,"3, 4, 5, 6, 7, 8"
72,Roxbury Prep - Lucy Stone,22 Regina Road,Dorchester,2124,617-979-0115,617-822-7527,"6,7,8"
78,Elizabeth Seton Academy,2220 Dorchester Ave,Dorchester,2124,617-296-1087,--,"9,10,11,12"
81,Notre Dame Montessori,265 Mt. Vernon Street,Dorchester,2125,--,--, 
11,Excel Academy Charter School - East Boston,58 Moore St.,East Boston,2128,617-561-1371,617-561-1378,"5,6,7,8"
26,E Boston Central Catholic,69 London,East Boston,2128,617-567-7456,--,"PK,K,1,2,3,4,5,6,7,8"
68,Edward Brooke Charter School - East Boston,94 Horace Street,East Boston,2128, , , 
69,Excel Academy Charter School - Orient Heights,1150 Saratoga St.,East Boston,2124, , , 
5,Academy Of the Pacific Rim Charter Public School,1 Westinghouse Plaza,Hyde Park,2136,617-361-0050,617-361-0045,"5,6,7,8,9,10,11,12"
7,Boston Preparatory Charter Public School,885 River Street,Hyde Park,2136,617-333-6688,617-333-6689,"6,7,8,9,10"
8,Boston Renaissance Charter Public School,1415 Hyde Park Avenue,Hyde Park,2136,617-357-0900,617-338-2647,"K,1,2,3,4,5,6"
40,New Beginnings Academy,14 Everett Street,Hyde Park,2136,617-364-6767,617-364-3383,"PK,K,1,2,3,4,5,6,10,12"
46,St Anne Elementary,20 Como Rd,Hyde Park,2136,617-361-3563,--,"K,1,2,3,4,5,6,7,8"
3,British School of Boston,416-420 Pond Street,Jamaica Plain,2130,617-522-2261,617-522-0385,"PK,K,1,2,3,4,5,6,7,8,9,10,11,12"
27,Neighborhood School,34 Peter Parley Rd,Jamaica Plain,2130,617-522-0880,--,"PK,K,1,2,3,4,5,6"
30,Nativity Prep School,39 Lamartine Street,Jamaica Plain,02130-0947,857-728-0031,857-728-0037,"5,6,7,8"
37,Hollow Reed School,93 Sedgewick Street,Jamaica Plain,2130,617-524-9004,--,"PK,K"
38,Italian Home For Children,1125 Centre Street,Jamaica Plain,2130,617-524-3116,617-983-5372,"1,2,3,4,5,6,7,8"
61,The Knight Children's Center,161 South Huntington Ave,Jamaica Plain,2130,617-264-5349,617-232-7925,"2,3,4,5,6,7,8,9"
65,MATCH Charter Public Middle School,215 Forest Hills St.,Jamaica Plain,2130,857-203-9668,857-203-9666,"5,6,7,8"
77,Roxbury Prep - High School,86 Wachusett Street,Jamaica Plain,2130,--,--,"9,10,11,12"
17,Berea SDA Academy,800 Morton St.,Mattapan,2126,617-436-8301,617-436-8304,"PK,K,1,2,3,4,5,6,7,8"
19,Pope John Paul II Academy (Mattapan),120 Babson,Mattapan,2126,617-265-0019,--,"PK,K,1,2,3,4,5,6,7,8"
64,MATCH Charter Community Day School,100 Poydras Street,Mattapan,2126,617-983-0300,617-983-0332,"PK, K, 1, 2, 3, 4"
76,KIPP Academy Boston,37 Babson Street,Mattapan,2126,617-238-7300,617-652-7461,"K,1,2,3,4,5,6,7,8"
10,Edward Brooke Charter School - Roslindale,190 Cummins Highway,Roslindale,2131,617-325-7977,617-325-2260,"K,1,2,3,5,6,7,8"
32,Sacred Heart Elementary,1035 Canterbury,Roslindale,2131,617-323-2500,617-325-7151,"PK,K,1,2,3,4,5,6,7,8"
62,Children's Learning Academy,6 Basile Street,Roslindale,2131,617-327-2538,--,"PK,K,1,2,3,4,5,6"
1,Roxbury Prep - Mission Hill,120 Fisher Avenue,Roxbury,2120,617-566-2361,617-566-2373,"6,7,8"
29,Paige Academy,28 Highland Avenue,Roxbury,2119,617-445-6969,--,"PK,K,1"
31,Mission Grammar School,94 St Alphonsus,Roxbury,2120,617-442-2660,--,"K,1,2,3,4,5,6,7,8"
59,City On A Hill Charter Public School - Circuit Street,58 Circuit Street,Roxbury,2119,617-445-1515,617-445-9153,"9,10,11,12"
70,City On A Hill Charter Public School - Dudley Square,2179 Washington Street,Roxbury,2119,617-516-5888,617-445-9153,"9,10,11,12"
73,Youth Build Boston,27 Centre Street,Roxbury,2119, , , 
74,Bridge Boston Charter School ,435 Warren Street,Roxbury,2119,857-229-1601,617-674-0861,"K, 1, 2, 3, 4"
82,St Patrick Elementary,131 Mt. Pleasant Ave,Roxbury,2119,617-427-3881,617-427-4529,"PK,K,1,2,3,4,5,6,7,8"
22,South Boston Catholic Academy,866 East Broadway,South Boston,2127,617-268-2326,--,"PK,K,1,2,3,4,5"
28,St Mary Of Czestochowa,655 Dorchester Avenue,South Boston,2127,617-268-3766,--,"PK,K,1,2,3,4,5,6,7,8"
49,St Peter Academy,371 W Fourth Street,South Boston,2127,617-268-0750,--,"PK,K,1,2,3,4,5,6,7,8"
75,Excel Academy Charter High School,7 Elkins Street,South Boston,2127,617-874-4143,--,"9, 10, 11, 12"
80,Julie's Family Learning Program,133 Dorchester Street,South Boston,2127,617-269-6663,--,"PK, K"
34,Catholic Memorial,235 Baker Street,West Roxbury,2132,617-469-8000,617-325-0888,"7,8,9,10,11,12"
35,Roxbury Latin School,101 St Theresa Avenue,West Roxbury,2132,617-325-4920,--,"7,8,9,10,11,12"
45,Holy Name Elementary,535 W Roxbury Pkwy,West Roxbury,2132,617-325-9338,--,"PK,K,1,2,3,4,5,6,7,8"
47,St Theresa Elementary,40 St Theresa Avenue,West Roxbury,2132,617-323-1050,617-323-8118,"PK,K,1,2,3,4,5,6,7,8"
