Neighborhood,Department,"Avg Salary"
"Back Bay","ASD Office of Budget Mangmnt",71416.780000
"Back Bay","Neighborhood Services",69059.680000
"Back Bay","BPS Alternative Education",64996.710000
"Back Bay","Boston Retirement System",64007.410000
"Back Bay","BPS Trotter Elementary",62448.820000
"Back Bay","Boston Public Library",60622.190000
"Back Bay","ASD Human Resources",59011.960000
"Back Bay","Boston Public Library",58152.420000
"Back Bay","BPS Holmes Elementary",56170.520000
"Back Bay","Public Works Department",55864.730000
"Back Bay","ASD Human Resources",55464.400000
"Back Bay","Boston Police Department",54883.350000
"Back Bay","Mayor's Office",50000.080000
"Back Bay","Haynes EEC",49513.680000
"Back Bay","Transportation-Parking Clerk",49003.570000
"Back Bay","Chief Academic Officer",48089.880000
"Back Bay","Boston Public Library",47892.330000
"Back Bay","Dpt of Innovation & Technology",47259.080000
"Back Bay","BPS Human Resource Team",44402.090000
"Back Bay","HPEC: Com Acd Science & Health",43199.060000
"Back Bay","BPS Condon Elementary",41847.790000
"Back Bay","BPS Fenway High",39749.050000
"Back Bay","BPS English High",39506.750000
"Back Bay","East Boston EEC",39339.370000
"Back Bay","BPS Blackstone Elementary",37840.690000
"Back Bay","BPS Substitute Teachers/Nurs",34168.270000
"Back Bay","Boston Cntr - Youth & Families",30810.920000
"Back Bay","Umana Middle",29503.590000
"Back Bay","Kennedy, EM Health Academy",29086.640000
"Back Bay","Curley K-8",28931.060000
"Back Bay","Assessing Department",28586.020000
"Back Bay","UP "Unlocking Potential"" Acad"",28409.200000
"Back Bay","BPS Hennigan Elementary",27564.670000
"Back Bay","BPS Dever Elementary",27324.290000
"Back Bay","BPS Brighton High",26148.760000
"Back Bay","HPEC: Com Acd Science & Health",25455.040000
"Back Bay","BPS Special Education",22862.230000
"Back Bay","BPS Winthrop Elementary",21602.900000
"Back Bay","BPS Transportation",18865.610000
"Back Bay","BPS Dearborn Middle",18517.030000
"Back Bay","BPS Madison Park High",18229.030000
"Back Bay","BPS Quincy Elementary",17307.950000
"Back Bay","BPS Special Education",16972.500000
"Back Bay","BPS Substitute Teachers/Nurs",16879.990000
"Back Bay","Boston Police Department",14341.140000
"Back Bay","Transportation-Parking Clerk",10166.000000
"Back Bay","BPS Substitute Teachers/Nurs",9340.130000
"Back Bay","East Boston EEC",8803.340000
"Back Bay","Tobin K-8",8748.060000
"Back Bay","Public Works Department",8592.580000
"Back Bay","Elderly Commission",7200.700000
"Back Bay","BPS Athletics",6643.660000
"Back Bay","Boston City Council",6300.000000
"Back Bay","BPS Transportation",5916.170000
"Back Bay","Food & Nutrition Svc",3088.250000
"Back Bay","Public Facilities Department",2451.130000
"Back Bay","Traffic Division",2334.120000
"Back Bay","Boston Public Library",1987.760000
"Back Bay","Boston Cntr - Youth & Families",1980.000000
"Beacon Hill","Office of Admin & Finance",113276.040000
"Beacon Hill","Inspectional Services Dept",92875.230000
"Beacon Hill","Chief Financial Officer",89472.600000
"Beacon Hill","Dpt of Innovation & Technology",82136.250000
"Beacon Hill","BPS Boston Latin",79019.870000
"Beacon Hill","Green Academy",61738.740000
"Beacon Hill","BPS Quincy Elementary",40154.820000
"Beacon Hill","BPS Orchard Gardens K-8 Pilot",37658.580000
"Beacon Hill","BPS School Safety Service",25519.200000
"Beacon Hill","Boston Fire Department",14700.960000
"Beacon Hill","BPS Substitute Teachers/Nurs",1784.150000
Boston,"Boston Fire Department",220488.840000
Boston,"Boston Fire Department",217822.940000
Boston,"Boston Fire Department",202996.090000
Boston,"Boston Fire Department",202861.480000
Boston,"Boston Fire Department",202726.870000
Boston,"Boston Fire Department",202246.000000
Boston,"Boston Police Department",199243.980000
Boston,"Boston Fire Department",187325.060000
Boston,"Boston Fire Department",186929.360000
Boston,"Boston Fire Department",186104.620000
Boston,"Boston Police Department",181982.710000
Boston,"Boston Fire Department",181241.060000
Boston,"Boston Police Department",180368.680000
Boston,"Boston Fire Department",180130.180000
Boston,"Boston Police Department",179864.280000
Boston,"Boston Fire Department",179271.730000
Boston,"Boston Fire Department",178906.240000
Boston,"Boston Police Department",178601.150000
Boston,"Boston Fire Department",177171.730000
Boston,"Boston Fire Department",176509.540000
Boston,"Boston Fire Department",175807.510000
Boston,"Boston Fire Department",173091.190000
Boston,"Asst Superintendent-Network A",171000.450000
Boston,"Boston Police Department",169466.250000
Boston,"Boston Fire Department",169024.080000
Boston,"Boston Fire Department",167709.950000
Boston,"Boston Fire Department",166637.170000
Boston,"Boston Fire Department",166561.880000
Boston,"Boston Fire Department",165794.040000
Boston,"Boston Fire Department",165704.350000
Boston,"Boston Fire Department",165582.440000
Boston,"Boston Fire Department",165370.810000
Boston,"Boston Fire Department",164837.720000
Boston,"Boston Fire Department",164704.050000
Boston,"Boston Fire Department",164603.520000
Boston,"Boston Fire Department",164293.450000
Boston,"Boston Fire Department",163802.810000
Boston,"Kennedy, EM Health Academy",163720.270000
Boston,"Boston Fire Department",163455.270000
Boston,"Boston Fire Department",163312.170000
Boston,"Boston Fire Department",163209.950000
Boston,"Boston Police Department",163209.020000
Boston,"Boston Fire Department",163131.480000
Boston,"Boston Fire Department",162647.170000
Boston,"Boston Fire Department",162646.580000
Boston,"Boston Fire Department",162630.530000
Boston,"Boston Fire Department",162385.210000
Boston,"Boston Fire Department",162153.180000
Boston,"Boston Fire Department",162022.730000
Boston,"Asst Superintendent-Network A",161310.870000
Boston,"Boston Fire Department",160937.000000
Boston,"Boston Fire Department",160807.590000
Boston,"Boston Fire Department",158860.810000
Boston,"Chief Operating Officer",158249.540000
Boston,"Boston Fire Department",157966.800000
Boston,"Chief Operating Officer",157849.400000
Boston,"BPS Human Resource Team",157699.380000
Boston,"Asst Superintendent-Network A",157345.120000
Boston,"Fam & Student Engagemt",156749.600000
Boston,"Boston Fire Department",155464.750000
Boston,"Boston Fire Department",155464.180000
Boston,"Boston Fire Department",154330.330000
Boston,"Boston Fire Department",154137.220000
Boston,"Tech Boston Academy",153961.510000
Boston,"Boston Fire Department",153127.340000
Boston,"Boston Fire Department",153096.140000
Boston,"Boston Fire Department",153092.700000
Boston,"Boston Fire Department",151745.890000
Boston,"Boston Fire Department",151149.520000
Boston,"Boston Fire Department",150261.240000
Boston,"Boston Police Department",149242.340000
Boston,"Boston Police Department",148529.680000
Boston,"Jackson/Mann K-8",148506.710000
Boston,"Boston Fire Department",148355.650000
Boston,"Boston Fire Department",148308.330000
Boston,"Boston Fire Department",147412.230000
Boston,"Boston Fire Department",147194.320000
Boston,"Boston Police Department",146894.280000
Boston,"Boston Police Department",146893.760000
Boston,"BPS Dever Elementary",146220.370000
Boston,"Boston Police Department",146058.900000
Boston,"Boston Fire Department",145854.480000
Boston,"Boston Fire Department",145638.670000
Boston,"Boston Fire Department",145586.620000
Boston,"Boston Fire Department",145559.020000
Boston,"Lyon K-8",145303.160000
Boston,"Boston Fire Department",145241.400000
Boston,"Boston Fire Department",145147.650000
Boston,"Boston Fire Department",145078.450000
Boston,"Boston Fire Department",144750.830000
Boston,"BPS Everett Elementary",144608.870000
Boston,"Boston Fire Department",144320.470000
Boston,"Hurley K-8",144003.160000
Boston,"East Boston EEC",143947.260000
Boston,"BPS Lee Elementary",143903.060000
Boston,"Boston Fire Department",143690.050000
Boston,"Boston Fire Department",143538.570000
Boston,"Boston Fire Department",143392.810000
Boston,"Boston Police Department",143223.990000
Boston,"Boston Police Department",142961.000000
Boston,"Boston Police Department",142886.580000
Boston,"Boston Fire Department",142859.020000
Boston,"BPS Edwards Middle",142754.090000
Boston,"Boston Fire Department",142725.970000
Boston,"Boston Fire Department",142560.250000
Boston,"Teaching & Learning",142519.460000
Boston,"Boston Fire Department",142447.560000
Boston,"Boston Fire Department",142214.420000
Boston,"Boston Fire Department",142130.400000
Boston,"BPS School Safety Service",142019.250000
Boston,"Boston Fire Department",141719.540000
Boston,"Boston Police Department",141364.010000
Boston,"BPS Dearborn Middle",140061.510000
Boston,"Greater Egleston High",139871.910000
Boston,"Boston Fire Department",139117.490000
Boston,"Boston Police Department",138583.800000
Boston,"BPS Chittick Elementary",138118.770000
Boston,"Boston Fire Department",137986.220000
Boston,"Career & Technical Ed",137337.890000
Boston,"Boston Fire Department",137243.350000
Boston,"BPS Russell Elementary",136609.280000
Boston,"Boston Fire Department",136564.160000
Boston,"Boston Fire Department",136372.350000
Boston,"Boston Fire Department",136326.140000
Boston,"Boston Fire Department",136294.420000
Boston,"BPS Quincy Elementary",135882.530000
Boston,"Boston Fire Department",135640.530000
Boston,"Boston Fire Department",135635.660000
Boston,"Boston Fire Department",135136.300000
Boston,"Boston Fire Department",135111.240000
Boston,"Boston Fire Department",134807.630000
Boston,"Warren/Prescott K-8",134746.080000
Boston,"Boston Fire Department",134713.750000
Boston,"Boston Fire Department",134587.380000
Boston,"Lyon Pilot High 9-12",134583.870000
Boston,"Boston Police Department",134357.140000
Boston,"Boston Fire Department",134299.980000
Boston,"Chief Operating Officer",134038.840000
Boston,"Boston Fire Department",133814.050000
Boston,"BPS Otis Elementary",133631.490000
Boston,"Margarita Muniz Academy",133281.270000
Boston,"Boston Fire Department",133200.950000
Boston,"Roosevelt K-8",132784.150000
Boston,"BPS Facility Mgmt/A & R",132681.820000
Boston,"Haley Pilot",132631.270000
Boston,"Teaching & Learning",132511.980000
Boston,Communications,132480.800000
Boston,"BPS Health and Wellness",132374.750000
Boston,"West Zone ELC",131984.130000
Boston,"BPS Boston International HS",131915.590000
Boston,"Boston Fire Department",131887.340000
Boston,"BPS Taylor Elementary",131784.190000
Boston,"Teaching & Learning",131731.860000
Boston,"BPS Sumner Elementary",131571.090000
Boston,"Early Learning Services",131415.610000
Boston,"Higginson/Lewis K-8",131348.430000
Boston,"BPS Beethoven Elementary",131184.110000
Boston,"BPS Channing Elementary",131184.110000
Boston,"BPS Winthrop Elementary",131184.110000
Boston,"Boston Police Department",130968.370000
Boston,"BPS Boston Arts Academy",130826.350000
Boston,"BPS McKinley Middle",130783.970000
Boston,"Tobin K-8",130699.100000
Boston,"BPS Special Education",130649.640000
Boston,"Boston Police Department",130493.630000
Boston,"BPS Holmes Elementary",130484.190000
Boston,"BPS Mendell Elementary",130287.920000
Boston,"Boston Fire Department",130286.500000
Boston,"Boston Fire Department",130265.290000
Boston,"Gardner Pilot  Academy",130259.250000
Boston,"Chief Operating Officer",130182.000000
Boston,"Boston Fire Department",129980.330000
Boston,"Boston Fire Department",129947.840000
Boston,"BPS Madison Park High",129873.900000
Boston,"BPS Madison Park High",129865.280000
Boston,"Boston Fire Department",129828.520000
Boston,"Boston Fire Department",129788.070000
Boston,"Boston Police Department",129737.140000
Boston,"BPS Alternative Education",129731.940000
Boston,"BPS Ellis Elementary",129684.170000
Boston,"Mattapan Early Elementary",129684.170000
Boston,"Quincy Upper School",129684.170000
Boston,"Jackson/Mann K-8",129562.940000
Boston,"Boston Police Department",129530.830000
Boston,"Boston Police Department",129426.110000
Boston,"Boston Fire Department",129328.770000
Boston,"Chief Financial Officer",129182.040000
Boston,"Alighieri Montessori School",129037.840000
Boston,"Boston Police Department",128944.720000
Boston,"Teaching & Learning",128943.880000
Boston,"Boston Police Department",128919.250000
Boston,"Boston Fire Department",128806.200000
Boston,"Boston Fire Department",128698.490000
Boston,"Boston Fire Department",128641.770000
Boston,"Boston Fire Department",128453.750000
Boston,"Edison K-8",128434.090000
Boston,"P. A. Shaw Elementary",128434.090000
Boston,"BPS Hennigan Elementary",128211.850000
Boston,"BPS Madison Park High",128193.350000
Boston,"Boston Fire Department",127999.440000
Boston,"Boston Fire Department",127961.030000
Boston,"BPS Counseling & Intervtn Ct",127943.920000
Boston,"Boston Fire Department",127907.060000
Boston,"Boston Fire Department",127875.440000
Boston,"Boston Fire Department",127743.350000
Boston,"BPS High School Renewal",127682.600000
Boston,"BPS Human Resource Team",127601.140000
Boston,"Boston Fire Department",127596.540000
Boston,"Boston Fire Department",127575.720000
Boston,"Boston Fire Department",127567.130000
Boston,"Boston Fire Department",127472.980000
Boston,"Boston Police Department",127442.470000
Boston,"Boston Police Department",127416.640000
Boston,"Boston Fire Department",127408.550000
Boston,"Boston Fire Department",127393.360000
Boston,"Tobin K-8",127211.890000
Boston,"Boston Police Department",127142.920000
Boston,"Boston Fire Department",127089.660000
Boston,"Boston Fire Department",127001.690000
Boston,"Boston Fire Department",126817.660000
Boston,"BPS Snowden International Hi",126694.100000
Boston,"Boston Fire Department",126613.890000
Boston,"Boston Police Department",126586.330000
Boston,"Boston Police Department",126560.070000
Boston,"BPS Athletics",126536.020000
Boston,"Boston Fire Department",126247.820000
Boston,"Boston Fire Department",126115.260000
Boston,"Boston Fire Department",126036.650000
Boston,"Kilmer K-8",125998.400000
Boston,"BPS Madison Park High",125949.580000
Boston,"Boston Fire Department",125894.820000
Boston,"Boston Fire Department",125823.670000
Boston,"BPS McKinley Middle",125814.260000
Boston,"Boston Fire Department",125808.350000
Boston,"BPS McKinley Middle",125729.120000
Boston,"Teaching & Learning",125637.840000
Boston,"Boston Fire Department",125627.020000
Boston,"BPS Condon Elementary",125559.620000
Boston,"Boston Fire Department",125521.560000
Boston,"BPS Athletics",125455.980000
Boston,"Boston Fire Department",125380.280000
Boston,"Boston Fire Department",125370.920000
Boston,"Boston Fire Department",125310.300000
Boston,"Boston Fire Department",125239.220000
Boston,"Boston Fire Department",125234.660000
Boston,"Boston Fire Department",125159.340000
Boston,"BPS Condon Elementary",125109.560000
Boston,"Boston Police Department",125070.420000
Boston,"Boston Fire Department",124980.260000
Boston,"Property Management",124970.540000
Boston,"Boston Retirement System",124965.050000
Boston,"Boston Police Department",124965.040000
Boston,"Dpt of Innovation & Technology",124965.030000
Boston,"Dpt of Innovation & Technology",124965.020000
Boston,"Boston Fire Department",124947.700000
Boston,"Boston Fire Department",124929.220000
Boston,"Young Achievers K-8",124850.910000
Boston,"BPS Business Service",124824.420000
Boston,"Boston Fire Department",124787.280000
Boston,"Boston Fire Department",124777.520000
Boston,"Finance Commission",124771.140000
Boston,"BPS Madison Park High",124698.760000
Boston,"Boston Fire Department",124651.690000
Boston,"Boston Police Department",124640.680000
Boston,"Boston Police Department",124609.160000
Boston,"Boston Fire Department",124573.160000
Boston,"BPS Special Education",124560.580000
Boston,"Boston Police Department",124559.430000
Boston,"Boston Fire Department",124555.600000
Boston,"Boston Fire Department",124546.240000
Boston,"Boston Fire Department",124444.330000
Boston,"Newcomers Academy",124206.720000
Boston,"BPS Charlestown High",124096.540000
Boston,"Boston Police Department",124056.640000
Boston,"Teaching & Learning",124048.080000
Boston,"Chief Financial Officer",123965.240000
Boston,"Boston Police Department",123953.960000
Boston,"BPS Timilty Middle",123876.990000
Boston,"Boston Fire Department",123833.000000
Boston,"BPS Burke High",123798.040000
Boston,"Boston Police Department",123792.960000
Boston,"Boston Collaborative High Sch",123759.690000
Boston,"Kennedy, JF Elementary",123759.690000
Boston,"Kennedy, PJ Elementary",123759.690000
Boston,"BPS East Boston High",123685.740000
Boston,"Boston Fire Department",123621.250000
Boston,"BPS Lee Elementary",123589.860000
Boston,"BPS Facility Mgmt/A & R",123536.740000
Boston,"BPS Madison Park High",123423.920000
Boston,"Boston Police Department",123367.140000
Boston,"BPS Boston Latin",123348.940000
Boston,"BPS East Boston High",123242.000000
Boston,"Boston Fire Department",123195.370000
Boston,"Lyndon K-8",123086.500000
Boston,"BPS McKinley Middle",123037.140000
Boston,"Boston Police Department",122795.270000
Boston,"Fam & Student Engagemt",122660.900000
Boston,"BPS Quincy Elementary",122559.740000
Boston,"Boston Police Department",122502.670000
Boston,"Boston Fire Department",122334.570000
Boston,"Boston Police Department",122211.310000
Boston,"BPS East Boston High",122196.920000
Boston,"Boston Police Department",122164.490000
Boston,"Boston Fire Department",122157.760000
Boston,"BPS Horace Mann",122109.680000
Boston,"Boston Police Department",121824.300000
Boston,"Boston Police Department",121710.440000
Boston,"BPS High School Renewal",121683.690000
Boston,"BPS Murphy Elementary",121421.310000
Boston,"Boston Police Department",121285.000000
Boston,"BPS English High",121267.950000
Boston,"BPS East Boston High",121216.940000
Boston,"King K-8",121171.740000
Boston,"BPS O'Bryant School",121122.040000
Boston,"Boston Police Department",121042.430000
Boston,"BPS Orchard Gardens K-8 Pilot",121041.960000
Boston,"WREC: Urban Science Academy",121041.960000
Boston,"BPS East Boston High",120942.140000
Boston,"Boston Police Department",120889.790000
Boston,"Boston Fire Department",120868.710000
Boston,"BPS Latin Academy",120845.920000
Boston,"Boston Fire Department",120831.990000
Boston,"BPS Ohrenberger Elementary",120771.760000
Boston,"BPS McCormack Middle",120687.960000
Boston,"Boston Fire Department",120620.520000
Boston,"Student Support Svc",120606.310000
Boston,"BPS McKinley Middle",120500.120000
Boston,"BPS Boston Latin",120492.060000
Boston,"BPS Special Education",120492.060000
Boston,"Boston Police Department",120412.360000
Boston,"Treasury-Treasury Division",120412.340000
Boston,"Dpt of Innovation & Technology",120412.300000
Boston,"BPS O'Bryant School",120253.900000
Boston,"Boston Fire Department",120177.770000
Boston,Accountability,120132.740000
Boston,"Boston Fire Department",120047.140000
Boston,"BPS Irving Middle",119999.880000
Boston,"Info & Instr Technology",119945.280000
Boston,"Curley K-8",119913.720000
Boston,"Boston Fire Department",119595.300000
Boston,"Boston Fire Department",119539.170000
Boston,"BPS Human Resource Team",119424.760000
Boston,"Boston Police Department",119406.660000
Boston,"Strategy Department",119387.670000
Boston,"BPS Boston Latin",119370.940000
Boston,"Teaching & Learning",119356.230000
Boston,"BPS Facility Mgmt/A & R",119321.170000
Boston,"Boston Fire Department",119320.430000
Boston,"BPS Business Service",119171.860000
Boston,"Boston Police Department",119030.600000
Boston,"BPS Latin Academy",118920.880000
Boston,"Boston Police Department",118846.240000
Boston,"Boston Police Department",118391.910000
Boston,"Kennedy, EM Health Academy",118370.980000
Boston,"Boston Fire Department",118175.880000
Boston,"Boston Fire Department",118101.830000
Boston,"BPS Special Education",118020.590000
Boston,"BPS McKinley Middle",117911.040000
Boston,"Boston Fire Department",117874.110000
Boston,"BPS O'Bryant School",117846.040000
Boston,"English Language Learn",117846.040000
Boston,"BPS McKinley Middle",117682.680000
Boston,"BPS East Boston High",117679.200000
Boston,"BPS Madison Park High",117549.760000
Boston,"Info & Instr Technology",117420.160000
Boston,"Boston Police Department",117408.980000
Boston,"Boston Police Department",117225.540000
Boston,"Boston Fire Department",117180.130000
Boston,"Boston Fire Department",116832.580000
Boston,"BPS Edwards Middle",116789.710000
Boston,"Boston Fire Department",116743.620000
Boston,"Boston Fire Department",116678.050000
Boston,"Boston Fire Department",116280.550000
Boston,"Boston Fire Department",116189.790000
Boston,"BPS Quincy Elementary",116142.420000
Boston,"Food & Nutrition Svc",116133.940000
Boston,"Boston Police Department",116108.980000
Boston,"Boston Fire Department",115889.750000
Boston,"Public Works Department",115811.480000
Boston,"BPS Athletics",115808.160000
Boston,"Boston Fire Department",115617.850000
Boston,"BPS Boston Arts Academy",115562.990000
Boston,"West Roxbury Academy",115551.620000
Boston,"Boston Police Department",115518.640000
Boston,"Neighborhood Development",115503.310000
Boston,"Jackson/Mann K-8",115402.720000
Boston,"BPS Dever Elementary",115329.890000
Boston,"Boston Fire Department",115324.310000
Boston,"Boston Fire Department",115289.640000
Boston,"Research Assess & Eval",115276.430000
Boston,"Early Learning Services",115232.780000
Boston,"Boston Police Department",115189.990000
Boston,"BPS Madison Park High",114987.910000
Boston,"BPS Mckay Elementary",114873.480000
Boston,"Boston Police Department",114777.840000
Boston,"Gardner Pilot  Academy",114620.100000
Boston,"BPS Health and Wellness",114583.080000
Boston,"BPS Edwards Middle",114435.570000
Boston,"BPS South Boston HS - Excel",114406.290000
Boston,"Henderson Elementary",114387.550000
Boston,"BPS O'Bryant School",114352.310000
Boston,"Boston Fire Department",114304.870000
Boston,"BPS McKinley Middle",114278.280000
