,,,,,,,,,,,,,,
DemographicsId,NeighborhoodName,Population,ForeignBorn,FemaleLaborForce,MaleLaborForce,Occupied Housing Units,OwnerOccupiedUnits,RenterOccupiedUnits,AgeRange,AgePercentage,EthnicityType,EthnicPopulation,EdType,EdPopulation
,,,,,,,,,10-19 years,128,Black/ African American,41,High School or GED,505
,,,,,,,,,20-34 years,"5,365",Hispanic,327,Some College or Associate's Degree,630
,,,,,,,,,35-54 years,"1,734",Asian/PI,286,Bachelor's Degree or Higher,"5,954"
,,,,,,,,,55-64 years,481,Other,183,,
,,,,,,,,,65 years and over,"1,114",,,,
,,,,,,,,,,,,,,
,Mission Hill,"16,700","4,534","4,279","4,666","6,153",714,"5,439",0-9 years,"1,129",White,"7,787",less than High School,"1,305"
,,,,,,,,,10-19 years,"2,026",Black/ African American,"2,743",High School or GED,"1,725"
,,,,,,,,,20-34 years,"7,984",Hispanic,"3,039",Some College or Associate's Degree,"1,526"
,,,,,,,,,35-54 years,"2,610",Asian/PI,"2,768",Bachelor's Degree or Higher,"4,069"
,,,,,,,,,55-64 years,"1,170",Other,363,,
,,,,,,,,,65 years and over,"1,781",,,,
,,,,,,,,,,,,,,
,Mattapan,"24,268","8,566","7,233","6,357","8,599","3,145","5,454",0-9 years,"2,625",White,"1,488",less than High School,"3,588"
,,,,,,,,,10-19 years,"3,118",Black/ African American,"17,891",High School or GED,"5,675"
,,,,,,,,,20-34 years,"5,358",Hispanic,"3,863",Some College or Associate's Degree,"4,890"
,,,,,,,,,35-54 years,"6,887",Asian/PI,568,Bachelor's Degree or Higher,"2,704"
,,,,,,,,,55-64 years,"3,157",Other,458,,
,,,,,,,,,65 years and over,"3,123",,,,
,,,,,,,,,,,,,,
,Longwood Medical Area,"5,233",736,"1,920",776,286,61,225,0-9 years,12,White,"3,739",less than High School,38
,,,,,,,,,10-19 years,"2,358",Black/ African American,305,High School or GED,83
,,,,,,,,,20-34 years,"2,663",Hispanic,468,Some College or Associate's Degree,61
,,,,,,,,,35-54 years,120,Asian/PI,582,Bachelor's Degree or Higher,410
,,,,,,,,,55-64 years,40,Other,139,,
,,,,,,,,,65 years and over,40,,,,
,,,,,,,,,,,,,,
,Jamaica Plain,"39,240","8,879","12,611","12,219","15,853","7,212","8,641",0-9 years,"4,126",White,"21,291",less than High School,"2,335"
,,,,,,,,,10-19 years,"3,273",Black/ African American,"4,552",High School or GED,"4,338"
,,,,,,,,,20-34 years,"13,620",Hispanic,"9,979",Some College or Associate's Degree,"3,947"
,,,,,,,,,35-54 years,"10,085",Asian/PI,"2,165",Bachelor's Degree or Higher,"18,246"
,,,,,,,,,55-64 years,"4,183",Other,"1,253",,
,,,,,,,,,65 years and over,"3,953",,,,
,,,,,,,,,,,,,,
,Hyde Park,"35,585","10,093","10,316","9,265","12,344","7,423","4,921",0-9 years,"4,006",White,"9,226",less than High School,"2,823"
,,,,,,,,,10-19 years,"4,805",Black/ African American,"16,055",High School or GED,"7,664"
,,,,,,,,,20-34 years,"7,464",Hispanic,"8,375",Some College or Associate's Degree,"7,387"
,,,,,,,,,35-54 years,"10,142",Asian/PI,746,Bachelor's Degree or Higher,"6,246"
,,,,,,,,,55-64 years,"4,525",Other,"1,183",,
,,,,,,,,,65 years and over,"4,643",,,,
